sample_index,route_distance_km,latitude,longitude,elevation_m,source
366,10.365869,40.6606765,-111.9020364,1309.940,USGS The National Map 3DEP
367,10.394268,40.6607236,-111.9017055,1303.383,USGS The National Map 3DEP
368,10.422668,40.6607667,-111.9013737,1303.490,USGS The National Map 3DEP
369,10.451068,40.6608024,-111.9010403,1303.285,USGS The National Map 3DEP
370,10.479467,40.6608342,-111.9007063,1309.895,USGS The National Map 3DEP
371,10.507867,40.6608611,-111.9003715,1308.947,USGS The National Map 3DEP
372,10.536266,40.6608833,-111.9000361,1308.251,USGS The National Map 3DEP
373,10.564666,40.6609054,-111.8997007,1308.563,USGS The National Map 3DEP
374,10.593066,40.6609274,-111.8993652,1309.075,USGS The National Map 3DEP
375,10.621465,40.6609489,-111.8990297,1309.532,USGS The National Map 3DEP
376,10.649865,40.6609709,-111.8986944,1310.204,USGS The National Map 3DEP
377,10.678265,40.6610257,-111.8983655,1310.433,USGS The National Map 3DEP
378,10.706664,40.6610806,-111.8980367,1310.613,USGS The National Map 3DEP
379,10.735064,40.6611378,-111.8977087,1310.888,USGS The National Map 3DEP
380,10.763464,40.6612161,-111.8973883,1311.096,USGS The National Map 3DEP
381,10.791863,40.6612885,-111.8970654,1311.180,USGS The National Map 3DEP
382,10.820263,40.6613600,-111.8967422,1311.302,USGS The National Map 3DEP
383,10.848662,40.6614306,-111.8964186,1311.491,USGS The National Map 3DEP
384,10.877062,40.6615012,-111.8960950,1311.943,USGS The National Map 3DEP
385,10.905462,40.6615698,-111.8957710,1311.999,USGS The National Map 3DEP
386,10.933861,40.6616405,-111.8954475,1311.350,USGS The National Map 3DEP
387,10.962261,40.6617080,-111.8951228,1309.702,USGS The National Map 3DEP
388,10.990661,40.6617793,-111.8947995,1308.785,USGS The National Map 3DEP
389,11.019060,40.6618462,-111.8944746,1308.342,USGS The National Map 3DEP
390,11.047460,40.6619068,-111.8941476,1308.278,USGS The National Map 3DEP
391,11.075860,40.6619692,-111.8938211,1307.829,USGS The National Map 3DEP
392,11.104259,40.6620045,-111.8934895,1307.402,USGS The National Map 3DEP
393,11.132659,40.6619152,-111.8933030,1307.755,USGS The National Map 3DEP
394,11.161059,40.6616642,-111.8933650,1308.558,USGS The National Map 3DEP
395,11.189458,40.6614159,-111.8934436,1309.364,USGS The National Map 3DEP
396,11.217858,40.6611675,-111.8935223,1310.166,USGS The National Map 3DEP
397,11.246257,40.6609190,-111.8935997,1310.983,USGS The National Map 3DEP
398,11.274657,40.6606703,-111.8936765,1311.769,USGS The National Map 3DEP
399,11.303057,40.6604216,-111.8937533,1312.522,USGS The National Map 3DEP
400,11.331456,40.6601726,-111.8938282,1313.220,USGS The National Map 3DEP
401,11.359856,40.6599237,-111.8939035,1313.794,USGS The National Map 3DEP
402,11.388256,40.6596779,-111.8939945,1314.239,USGS The National Map 3DEP
403,11.416655,40.6594335,-111.8940920,1314.556,USGS The National Map 3DEP
404,11.445055,40.6591941,-111.8942095,1314.725,USGS The National Map 3DEP
405,11.473455,40.6589549,-111.8943275,1314.845,USGS The National Map 3DEP
406,11.501854,40.6587223,-111.8944664,1314.948,USGS The National Map 3DEP
407,11.530254,40.6584905,-111.8946075,1315.080,USGS The National Map 3DEP
408,11.558653,40.6582673,-111.8947711,1315.176,USGS The National Map 3DEP
409,11.587053,40.6580450,-111.8949368,1315.310,USGS The National Map 3DEP
410,11.615453,40.6580060,-111.8951242,1315.176,USGS The National Map 3DEP
411,11.643852,40.6582030,-111.8953384,1314.628,USGS The National Map 3DEP
412,11.672252,40.6584034,-111.8955465,1314.125,USGS The National Map 3DEP
413,11.700652,40.6586273,-111.8957071,1313.785,USGS The National Map 3DEP
414,11.729051,40.6588744,-111.8957489,1312.698,USGS The National Map 3DEP
415,11.757451,40.6591094,-111.8956203,1311.975,USGS The National Map 3DEP
416,11.785851,40.6593430,-111.8954841,1311.470,USGS The National Map 3DEP
417,11.814250,40.6595706,-111.8953325,1310.885,USGS The National Map 3DEP
418,11.842650,40.6597912,-111.8951627,1310.376,USGS The National Map 3DEP
419,11.871050,40.6600121,-111.8949940,1310.051,USGS The National Map 3DEP
420,11.899449,40.6602080,-111.8947965,1310.165,USGS The National Map 3DEP
421,11.927849,40.6603161,-111.8945240,1310.193,USGS The National Map 3DEP
422,11.956248,40.6604635,-111.8947390,1309.604,USGS The National Map 3DEP
423,11.984648,40.6602998,-111.8949594,1309.899,USGS The National Map 3DEP
424,12.013048,40.6600694,-111.8951045,1310.296,USGS The National Map 3DEP
425,12.041447,40.6598389,-111.8952497,1310.486,USGS The National Map 3DEP
426,12.069847,40.6596100,-111.8953990,1310.965,USGS The National Map 3DEP
