sample_index,route_distance_km,latitude,longitude,elevation_m,source
84,2.357170,40.6745988,-111.9579675,1316.959,USGS The National Map 3DEP
85,2.385570,40.6743434,-111.9579647,1316.488,USGS The National Map 3DEP
86,2.413969,40.6740880,-111.9579619,1315.910,USGS The National Map 3DEP
87,2.442369,40.6738326,-111.9579600,1315.438,USGS The National Map 3DEP
88,2.470769,40.6735772,-111.9579600,1315.125,USGS The National Map 3DEP
89,2.499168,40.6733218,-111.9579600,1315.018,USGS The National Map 3DEP
90,2.527568,40.6730664,-111.9579600,1315.128,USGS The National Map 3DEP
91,2.555968,40.6728110,-111.9579600,1315.271,USGS The National Map 3DEP
92,2.584367,40.6725556,-111.9579600,1315.420,USGS The National Map 3DEP
93,2.612767,40.6723002,-111.9579600,1315.633,USGS The National Map 3DEP
94,2.641167,40.6720447,-111.9579600,1315.736,USGS The National Map 3DEP
95,2.669566,40.6717893,-111.9579600,1315.905,USGS The National Map 3DEP
96,2.697966,40.6715339,-111.9579600,1316.139,USGS The National Map 3DEP
97,2.726365,40.6712785,-111.9579600,1316.353,USGS The National Map 3DEP
98,2.754765,40.6710231,-111.9579600,1316.629,USGS The National Map 3DEP
99,2.783165,40.6707677,-111.9579600,1316.984,USGS The National Map 3DEP
100,2.811564,40.6705123,-111.9579600,1317.508,USGS The National Map 3DEP
101,2.839964,40.6702569,-111.9579600,1318.225,USGS The National Map 3DEP
102,2.868364,40.6700015,-111.9579600,1319.221,USGS The National Map 3DEP
103,2.896763,40.6697461,-111.9579600,1320.494,USGS The National Map 3DEP
104,2.925163,40.6694907,-111.9579606,1321.744,USGS The National Map 3DEP
105,2.953563,40.6692354,-111.9579686,1322.915,USGS The National Map 3DEP
106,2.981962,40.6689800,-111.9579700,1323.880,USGS The National Map 3DEP
107,3.010362,40.6687247,-111.9579798,1324.552,USGS The National Map 3DEP
108,3.038761,40.6684693,-111.9579816,1325.111,USGS The National Map 3DEP
109,3.067161,40.6682140,-111.9579900,1325.579,USGS The National Map 3DEP
110,3.095561,40.6679586,-111.9579900,1325.891,USGS The National Map 3DEP
111,3.123960,40.6677032,-111.9579900,1325.996,USGS The National Map 3DEP
112,3.152360,40.6676030,-111.9577894,1325.949,USGS The National Map 3DEP
113,3.180760,40.6676080,-111.9574527,1325.474,USGS The National Map 3DEP
114,3.209159,40.6676100,-111.9571160,1325.017,USGS The National Map 3DEP
115,3.237559,40.6676100,-111.9567793,1324.492,USGS The National Map 3DEP
116,3.265959,40.6676126,-111.9564426,1324.003,USGS The National Map 3DEP
117,3.294358,40.6676186,-111.9561060,1323.522,USGS The National Map 3DEP
118,3.322758,40.6676200,-111.9557693,1323.053,USGS The National Map 3DEP
119,3.351158,40.6676200,-111.9554326,1322.570,USGS The National Map 3DEP
120,3.379557,40.6676200,-111.9550959,1322.113,USGS The National Map 3DEP
121,3.407957,40.6676200,-111.9547592,1321.566,USGS The National Map 3DEP
122,3.436356,40.6676200,-111.9544224,1320.720,USGS The National Map 3DEP
123,3.464756,40.6676200,-111.9540857,1319.785,USGS The National Map 3DEP
124,3.493156,40.6676200,-111.9537490,1318.936,USGS The National Map 3DEP
125,3.521555,40.6676200,-111.9534123,1318.293,USGS The National Map 3DEP
126,3.549955,40.6676200,-111.9530756,1317.803,USGS The National Map 3DEP
127,3.578355,40.6676200,-111.9527388,1317.239,USGS The National Map 3DEP
128,3.606754,40.6676200,-111.9524021,1316.830,USGS The National Map 3DEP
129,3.635154,40.6676213,-111.9520654,1316.493,USGS The National Map 3DEP
130,3.663554,40.6676267,-111.9517288,1316.128,USGS The National Map 3DEP
131,3.691953,40.6676312,-111.9513921,1315.821,USGS The National Map 3DEP
132,3.720353,40.6676345,-111.9510554,1315.466,USGS The National Map 3DEP
133,3.748752,40.6676377,-111.9507187,1315.136,USGS The National Map 3DEP
134,3.777152,40.6676400,-111.9503820,1314.777,USGS The National Map 3DEP
135,3.805552,40.6676400,-111.9500453,1314.444,USGS The National Map 3DEP
136,3.833951,40.6676400,-111.9497086,1314.181,USGS The National Map 3DEP
137,3.862351,40.6676400,-111.9493718,1313.835,USGS The National Map 3DEP
138,3.890751,40.6676400,-111.9490351,1313.565,USGS The National Map 3DEP
139,3.919150,40.6676400,-111.9486984,1313.407,USGS The National Map 3DEP
140,3.947550,40.6676400,-111.9483617,1313.231,USGS The National Map 3DEP
141,3.975950,40.6676400,-111.9480250,1313.161,USGS The National Map 3DEP
142,4.004349,40.6676400,-111.9476882,1313.061,USGS The National Map 3DEP
143,4.032749,40.6676400,-111.9473515,1312.962,USGS The National Map 3DEP
144,4.061149,40.6676400,-111.9470148,1312.858,USGS The National Map 3DEP
145,4.089548,40.6676400,-111.9466781,1312.739,USGS The National Map 3DEP
146,4.117948,40.6676400,-111.9463414,1312.618,USGS The National Map 3DEP
147,4.146347,40.6676400,-111.9460046,1312.518,USGS The National Map 3DEP
148,4.174747,40.6676400,-111.9456679,1312.435,USGS The National Map 3DEP
149,4.203147,40.6676413,-111.9453312,1312.392,USGS The National Map 3DEP
150,4.231546,40.6676439,-111.9449945,1312.324,USGS The National Map 3DEP
151,4.259946,40.6676465,-111.9446578,1312.272,USGS The National Map 3DEP
152,4.288346,40.6676491,-111.9443211,1312.194,USGS The National Map 3DEP
153,4.316745,40.6676500,-111.9439844,1312.144,USGS The National Map 3DEP
154,4.345145,40.6676500,-111.9436477,1312.112,USGS The National Map 3DEP
155,4.373545,40.6676500,-111.9433109,1312.043,USGS The National Map 3DEP
156,4.401944,40.6676500,-111.9429742,1311.992,USGS The National Map 3DEP
157,4.430344,40.6676500,-111.9426375,1311.944,USGS The National Map 3DEP
158,4.458743,40.6676500,-111.9423008,1311.868,USGS The National Map 3DEP
159,4.487143,40.6676500,-111.9419641,1311.800,USGS The National Map 3DEP
160,4.515543,40.6676500,-111.9416273,1311.671,USGS The National Map 3DEP
161,4.543942,40.6676500,-111.9412906,1311.534,USGS The National Map 3DEP
162,4.572342,40.6676500,-111.9409539,1311.353,USGS The National Map 3DEP
163,4.600742,40.6676500,-111.9406172,1311.258,USGS The National Map 3DEP
164,4.629141,40.6676500,-111.9402804,1311.130,USGS The National Map 3DEP
165,4.657541,40.6676500,-111.9399437,1310.950,USGS The National Map 3DEP
166,4.685941,40.6676500,-111.9396070,1310.819,USGS The National Map 3DEP
167,4.714340,40.6676500,-111.9392703,1310.660,USGS The National Map 3DEP
168,4.742740,40.6676500,-111.9389336,1310.595,USGS The National Map 3DEP
169,4.771140,40.6678040,-111.9388072,1310.553,USGS The National Map 3DEP
170,4.799539,40.6680592,-111.9388190,1310.479,USGS The National Map 3DEP
171,4.827939,40.6683145,-111.9388302,1310.398,USGS The National Map 3DEP
172,4.856338,40.6685698,-111.9388400,1310.319,USGS The National Map 3DEP
173,4.884738,40.6688247,-111.9388529,1310.203,USGS The National Map 3DEP
174,4.913138,40.6690800,-111.9388600,1310.079,USGS The National Map 3DEP
175,4.941537,40.6693354,-111.9388616,1309.946,USGS The National Map 3DEP
176,4.969937,40.6695908,-111.9388660,1309.833,USGS The National Map 3DEP
177,4.998337,40.6698211,-111.9389045,1309.745,USGS The National Map 3DEP
178,5.026736,40.6698546,-111.9392316,1309.225,USGS The National Map 3DEP
179,5.055136,40.6699691,-111.9395306,1309.420,USGS The National Map 3DEP
180,5.083536,40.6699726,-111.9398646,1309.750,USGS The National Map 3DEP
181,5.111935,40.6699700,-111.9402013,1309.722,USGS The National Map 3DEP
182,5.140335,40.6701501,-111.9402836,1309.395,USGS The National Map 3DEP
183,5.168734,40.6704044,-111.9402863,1309.882,USGS The National Map 3DEP
184,5.197134,40.6706596,-111.9402933,1309.688,USGS The National Map 3DEP
185,5.225534,40.6709137,-111.9402712,1310.550,USGS The National Map 3DEP
186,5.253933,40.6710804,-111.9400558,1310.647,USGS The National Map 3DEP
187,5.282333,40.6710626,-111.9397363,1310.367,USGS The National Map 3DEP
188,5.310733,40.6708848,-111.9395231,1310.120,USGS The National Map 3DEP
189,5.339132,40.6706494,-111.9395593,1309.494,USGS The National Map 3DEP
190,5.367532,40.6705673,-111.9398731,1309.544,USGS The National Map 3DEP
191,5.395932,40.6705894,-111.9402081,1309.286,USGS The National Map 3DEP
192,5.424331,40.6704014,-111.9402858,1309.892,USGS The National Map 3DEP
193,5.452731,40.6701470,-111.9402839,1309.395,USGS The National Map 3DEP
194,5.481131,40.6699700,-111.9401972,1309.722,USGS The National Map 3DEP
195,5.509530,40.6699727,-111.9398605,1309.746,USGS The National Map 3DEP
196,5.537930,40.6699680,-111.9395268,1309.420,USGS The National Map 3DEP
197,5.566329,40.6698529,-111.9392282,1309.218,USGS The National Map 3DEP
198,5.594729,40.6698210,-111.9389004,1309.755,USGS The National Map 3DEP
199,5.623129,40.6695877,-111.9388660,1309.834,USGS The National Map 3DEP
200,5.651528,40.6693323,-111.9388616,1309.946,USGS The National Map 3DEP
201,5.679928,40.6690769,-111.9388600,1310.079,USGS The National Map 3DEP
202,5.708328,40.6688216,-111.9388528,1310.209,USGS The National Map 3DEP
203,5.736727,40.6685667,-111.9388400,1310.329,USGS The National Map 3DEP
204,5.765127,40.6683114,-111.9388301,1310.398,USGS The National Map 3DEP
205,5.793527,40.6680561,-111.9388189,1310.484,USGS The National Map 3DEP
206,5.821926,40.6678009,-111.9388070,1310.553,USGS The National Map 3DEP
207,5.850326,40.6676021,-111.9386783,1310.473,USGS The National Map 3DEP
208,5.878725,40.6676000,-111.9383421,1310.248,USGS The National Map 3DEP
209,5.907125,40.6676001,-111.9380053,1309.994,USGS The National Map 3DEP
210,5.935525,40.6676064,-111.9376687,1309.771,USGS The National Map 3DEP
211,5.963924,40.6676090,-111.9373320,1309.478,USGS The National Map 3DEP
212,5.992324,40.6676090,-111.9369953,1309.220,USGS The National Map 3DEP
213,6.020724,40.6676121,-111.9366587,1309.013,USGS The National Map 3DEP
214,6.049123,40.6676267,-111.9363226,1308.803,USGS The National Map 3DEP
215,6.077523,40.6676476,-111.9359870,1308.492,USGS The National Map 3DEP
216,6.105923,40.6676701,-111.9356516,1308.210,USGS The National Map 3DEP
217,6.134322,40.6676973,-111.9353168,1307.961,USGS The National Map 3DEP
218,6.162722,40.6677399,-111.9349849,1307.726,USGS The National Map 3DEP
219,6.191122,40.6677889,-111.9346545,1307.498,USGS The National Map 3DEP
220,6.219521,40.6678494,-111.9343274,1307.213,USGS The National Map 3DEP
221,6.247921,40.6679175,-111.9340030,1306.939,USGS The National Map 3DEP
222,6.276320,40.6679967,-111.9336829,1306.648,USGS The National Map 3DEP
223,6.304720,40.6680837,-111.9333663,1306.429,USGS The National Map 3DEP
224,6.333120,40.6681688,-111.9330489,1306.239,USGS The National Map 3DEP
225,6.361519,40.6682666,-111.9327380,1306.087,USGS The National Map 3DEP
226,6.389919,40.6683731,-111.9324319,1305.957,USGS The National Map 3DEP
227,6.418319,40.6684875,-111.9321310,1305.807,USGS The National Map 3DEP
228,6.446718,40.6686028,-111.9318305,1305.702,USGS The National Map 3DEP
229,6.475118,40.6687169,-111.9315293,1305.587,USGS The National Map 3DEP
230,6.503518,40.6688312,-111.9312281,1305.461,USGS The National Map 3DEP
