bus_id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39
1,0.0,5.114,5.114,6.761,8.409,9.924,11.439,12.955,18.182,1.364,15.909,19.318,20.227,22.955,27.273,33.409,36.591,41.136,43.182,42.273,47.273,50.682,50.341,49.545,65.227,50.909,50.682,47.955,45.455,42.955,40.0,35.909,30.909,26.818,22.955,15.909,8.182,1.364,0.0
2,0.0,8.409,8.409,8.409,8.409,9.205,12.727,12.273,17.955,18.409,18.864,19.773,20.909,22.273,28.636,33.295,39.091,40.909,42.727,42.727,46.364,47.727,49.091,48.864,48.977,47.5,47.955,47.727,43.636,41.818,35.682,35.114,31.818,27.727,19.697,11.667,3.636,3.636,0.0
3,0.0,4.545,4.545,6.364,8.068,11.705,12.386,14.318,17.159,17.5,18.068,19.091,18.409,19.545,25.227,29.545,37.955,40.227,42.5,42.955,46.023,49.091,49.091,45.0,49.091,46.591,46.818,45.0,41.818,39.432,40.0,32.727,28.409,24.091,19.773,13.75,5.682,5.682,0.0
4,0.0,4.545,4.545,5.909,8.182,10.682,11.591,13.636,16.364,17.045,17.5,18.864,19.545,21.591,27.5,32.5,37.955,40.0,42.273,42.273,46.25,49.318,49.091,48.409,48.636,48.636,48.523,47.273,43.409,41.818,39.318,34.773,29.659,25.455,20.909,14.432,6.136,6.136,0.0
5,0.0,5.0,5.0,7.614,9.318,11.023,12.045,13.864,17.727,18.182,18.409,19.091,19.091,21.136,26.932,32.727,36.364,39.545,41.591,42.386,46.477,49.545,49.091,48.182,48.636,48.75,47.955,47.159,42.614,41.591,39.318,34.545,30.682,25.455,20.227,14.091,7.955,7.955,0.0
6,0.0,5.909,5.909,5.909,7.273,10.455,11.136,13.182,16.591,16.818,18.068,18.636,19.545,22.045,27.045,32.955,37.841,39.773,41.136,41.136,45.227,48.409,48.409,47.727,48.295,47.841,47.727,45.114,41.591,40.227,37.727,33.636,28.409,25.682,21.818,15.114,8.182,8.182,0.0
7,0.0,5.455,5.455,6.818,10.0,12.5,14.318,16.364,21.136,22.273,22.955,25.455,27.727,31.705,42.5,50.909,56.932,58.75,60.341,60.682,64.659,66.932,66.364,65.114,65.682,65.455,65.227,62.045,59.545,57.5,55.0,50.341,43.409,38.182,33.409,23.182,10.0,10.0,0.0
