,time,loc,op,stop
0,1427,0.0,0.0,-1
1,1428,0.008055555555555555,0.0,-1
2,1429,0.01611111111111111,0.0,-1
3,1430,0.024166666666666666,0.0,-1
4,1431,0.03222222222222222,0.0,-1
5,1432,0.04027777777777777,0.0,-1
6,1433,0.048333333333333325,0.0,-1
7,1434,0.05638888888888888,0.0,-1
8,1435,0.06444444444444443,0.0,-1
9,1436,0.07249999999999998,0.0,-1
10,1437,0.08055555555555553,0.0,-1
11,1438,0.08861111111111108,0.0,-1
12,1439,0.09666666666666664,0.0,-1
13,1440,0.10472222222222219,0.0,-1
14,1441,0.11277777777777774,0.0,-1
15,1442,0.12083333333333329,0.0,-1
16,1443,0.12888888888888886,0.0,-1
17,1444,0.13694444444444442,0.0,-1
18,1445,0.145,0.0,-1
19,1446,0.15305555555555556,0.0,-1
20,1447,0.16111111111111112,0.0,-1
21,1448,0.1691666666666667,0.0,-1
22,1449,0.17722222222222225,0.0,-1
23,1450,0.18527777777777782,0.0,-1
24,1451,0.19333333333333338,0.0,-1
25,1452,0.20138888888888895,0.0,-1
26,1453,0.20944444444444452,0.0,-1
27,1454,0.21750000000000008,0.0,-1
28,1455,0.22555555555555565,0.0,-1
29,1456,0.2336111111111112,0.0,-1
30,1457,0.24166666666666678,0.0,-1
31,1458,0.24972222222222235,0.0,-1
32,1459,0.2577777777777779,0.0,-1
33,1460,0.2658333333333334,0.0,-1
34,1461,0.27388888888888896,0.0,-1
35,1462,0.2819444444444445,0.0,-1
36,1463,0.29000000000000004,0.0,-1
37,1464,0.2980555555555556,0.0,-1
38,1465,0.3061111111111111,0.0,-1
39,1466,0.31416666666666665,0.0,-1
40,1467,0.3222222222222222,0.0,-1
41,1468,0.3302777777777777,0.0,-1
42,1469,0.33833333333333326,0.0,-1
43,1470,0.33833333333333326,0.016666666666666666,2
44,1471,0.33833333333333326,0.016666666666666666,2
45,1472,0.33833333333333326,0.016666666666666666,2
46,1473,0.33833333333333326,0.016666666666666666,2
47,1474,0.33833333333333326,0.016666666666666666,2
48,1475,0.33833333333333326,0.016666666666666666,2
49,1476,0.3463888888888888,0.016666666666666666,-1
50,1477,0.35444444444444434,0.016666666666666666,-1
51,1478,0.3624999999999999,0.016666666666666666,-1
52,1479,0.3705555555555554,0.016666666666666666,-1
53,1480,0.37861111111111095,0.016666666666666666,-1
54,1481,0.3866666666666665,0.016666666666666666,-1
55,1482,0.39472222222222203,0.016666666666666666,-1
56,1483,0.40277777777777757,0.016666666666666666,-1
57,1484,0.4108333333333331,0.016666666666666666,-1
58,1485,0.41888888888888864,0.016666666666666666,-1
59,1486,0.4269444444444442,0.016666666666666666,-1
60,1487,0.4349999999999997,0.016666666666666666,-1
61,1488,0.44305555555555526,0.016666666666666666,-1
62,1489,0.4511111111111108,0.016666666666666666,-1
63,1490,0.45916666666666633,0.016666666666666666,-1
64,1491,0.4672222222222219,0.016666666666666666,-1
65,1492,0.4752777777777774,0.016666666666666666,-1
66,1493,0.48333333333333295,0.016666666666666666,-1
67,1494,0.4913888888888885,0.016666666666666666,-1
68,1495,0.499444444444444,0.016666666666666666,-1
69,1496,0.5074999999999996,0.016666666666666666,-1
70,1497,0.5155555555555552,0.016666666666666666,-1
71,1498,0.5236111111111108,0.016666666666666666,-1
72,1499,0.5316666666666664,0.016666666666666666,-1
73,1500,0.539722222222222,0.016666666666666666,-1
74,1501,0.5477777777777776,0.016666666666666666,-1
75,1502,0.5558333333333332,0.016666666666666666,-1
76,1503,0.5638888888888888,0.016666666666666666,-1
77,1504,0.5719444444444444,0.016666666666666666,-1
78,1505,0.58,0.016666666666666666,-1
79,1506,0.5880555555555556,0.016666666666666666,-1
80,1507,0.5961111111111111,0.016666666666666666,-1
81,1508,0.6041666666666667,0.016666666666666666,-1
82,1509,0.6122222222222223,0.016666666666666666,-1
83,1510,0.6202777777777779,0.016666666666666666,-1
84,1511,0.6283333333333335,0.016666666666666666,-1
85,1512,0.6363888888888891,0.016666666666666666,-1
86,1513,0.6444444444444447,0.016666666666666666,-1
87,1514,0.6525000000000003,0.016666666666666666,-1
88,1515,0.6605555555555559,0.016666666666666666,-1
89,1516,0.6686111111111115,0.016666666666666666,-1
90,1517,0.6766666666666671,0.016666666666666666,-1
91,1518,0.6847222222222227,0.016666666666666666,-1
92,1519,0.6927777777777783,0.016666666666666666,-1
93,1520,0.7008333333333339,0.016666666666666666,-1
94,1521,0.7088888888888895,0.016666666666666666,-1
95,1522,0.716944444444445,0.016666666666666666,-1
96,1523,0.7250000000000006,0.016666666666666666,-1
97,1524,0.7330555555555562,0.016666666666666666,-1
98,1525,0.7411111111111118,0.016666666666666666,-1
99,1526,0.7491666666666674,0.016666666666666666,-1
100,1527,0.757222222222223,0.016666666666666666,-1
101,1528,0.7652777777777786,0.016666666666666666,-1
102,1529,0.7733333333333342,0.016666666666666666,-1
103,1530,0.7813888888888898,0.016666666666666666,-1
104,1531,0.7894444444444454,0.016666666666666666,-1
105,1532,0.797500000000001,0.016666666666666666,-1
106,1533,0.8055555555555566,0.016666666666666666,-1
107,1534,0.8136111111111122,0.016666666666666666,-1
108,1535,0.8216666666666678,0.016666666666666666,-1
109,1536,0.8297222222222234,0.016666666666666666,-1
110,1537,0.837777777777779,0.016666666666666666,-1
111,1538,0.8458333333333345,0.016666666666666666,-1
112,1539,0.8538888888888901,0.016666666666666666,-1
113,1540,0.8619444444444457,0.016666666666666666,-1
114,1541,0.8700000000000013,0.016666666666666666,-1
115,1542,0.8780555555555569,0.016666666666666666,-1
116,1543,0.8861111111111125,0.016666666666666666,-1
117,1544,0.8941666666666681,0.016666666666666666,-1
118,1545,0.9022222222222237,0.016666666666666666,-1
119,1546,0.9102777777777793,0.016666666666666666,-1
120,1547,0.9183333333333349,0.016666666666666666,-1
121,1548,0.9263888888888905,0.016666666666666666,-1
122,1549,0.9263888888888905,0.016666666666666666,3
123,1550,0.9263888888888905,0.016666666666666666,3
124,1551,0.9263888888888905,0.016666666666666666,3
125,1552,0.9263888888888905,0.016666666666666666,3
126,1553,0.9263888888888905,0.016666666666666666,3
127,1554,0.9263888888888905,0.016666666666666666,3
128,1555,0.9263888888888905,0.016666666666666666,3
129,1556,0.9263888888888905,0.016666666666666666,3
130,1557,0.9263888888888905,0.016666666666666666,3
131,1558,0.9263888888888905,0.016666666666666666,3
132,1559,0.9263888888888905,0.016666666666666666,3
133,1560,0.9263888888888905,0.016666666666666666,3
134,1561,0.9263888888888905,0.016666666666666666,3
135,1562,0.9263888888888905,0.016666666666666666,3
136,1563,0.9263888888888905,0.016666666666666666,3
137,1564,0.9263888888888905,0.016666666666666666,3
138,1565,0.9263888888888905,0.016666666666666666,3
139,1566,0.9263888888888905,0.016666666666666666,3
140,1567,0.9263888888888905,0.016666666666666666,3
141,1568,0.9263888888888905,0.016666666666666666,3
142,1569,0.9263888888888905,0.016666666666666666,3
143,1570,0.9263888888888905,0.016666666666666666,3
144,1571,0.9263888888888905,0.016666666666666666,3
145,1572,0.9263888888888905,0.016666666666666666,3
146,1573,0.9263888888888905,0.016666666666666666,3
147,1574,0.9263888888888905,0.016666666666666666,3
148,1575,0.9263888888888905,0.016666666666666666,3
149,1576,0.9263888888888905,0.016666666666666666,3
150,1577,0.9263888888888905,0.016666666666666666,3
151,1578,0.9263888888888905,0.016666666666666666,3
152,1579,0.9263888888888905,0.016666666666666666,3
153,1580,0.9263888888888905,0.016666666666666666,3
154,1581,0.9263888888888905,0.016666666666666666,3
155,1582,0.9263888888888905,0.016666666666666666,3
156,1583,0.9263888888888905,0.016666666666666666,3
157,1584,0.9263888888888905,0.016666666666666666,3
158,1585,0.9263888888888905,0.016666666666666666,3
159,1586,0.9263888888888905,0.016666666666666666,3
160,1587,0.9263888888888905,0.016666666666666666,3
161,1588,0.9263888888888905,0.016666666666666666,3
162,1589,0.9263888888888905,0.016666666666666666,3
163,1590,0.9263888888888905,0.016666666666666666,3
164,1591,0.9263888888888905,0.016666666666666666,3
165,1592,0.9263888888888905,0.016666666666666666,3
166,1593,0.9263888888888905,0.016666666666666666,3
167,1594,0.9263888888888905,0.016666666666666666,3
168,1595,0.9263888888888905,0.016666666666666666,3
169,1596,0.9263888888888905,0.016666666666666666,3
170,1597,0.9263888888888905,0.016666666666666666,3
171,1598,0.9263888888888905,0.016666666666666666,3
172,1599,0.9263888888888905,0.016666666666666666,3
173,1600,0.9263888888888905,0.016666666666666666,3
174,1601,0.9263888888888905,0.016666666666666666,3
175,1602,0.9263888888888905,0.016666666666666666,3
176,1603,0.9263888888888905,0.016666666666666666,3
177,1604,0.9344444444444461,0.016666666666666666,-1
178,1605,0.9425000000000017,0.016666666666666666,-1
179,1606,0.9505555555555573,0.016666666666666666,-1
180,1607,0.9586111111111129,0.016666666666666666,-1
181,1608,0.9666666666666685,0.016666666666666666,-1
182,1609,0.974722222222224,0.016666666666666666,-1
183,1610,0.9827777777777796,0.016666666666666666,-1
184,1611,0.9908333333333352,0.016666666666666666,-1
185,1612,0.9988888888888908,0.016666666666666666,-1
186,1613,1.0069444444444464,0.016666666666666666,-1
187,1614,1.015000000000002,0.016666666666666666,-1
188,1615,1.0230555555555574,0.016666666666666666,-1
189,1616,1.0311111111111129,0.016666666666666666,-1
190,1617,1.0391666666666683,0.016666666666666666,-1
191,1618,1.0472222222222238,0.016666666666666666,-1
192,1619,1.0552777777777793,0.016666666666666666,-1
193,1620,1.0633333333333348,0.016666666666666666,-1
194,1621,1.0713888888888903,0.016666666666666666,-1
