service_date,trip_id,service_id,trip_headsign,direction_id,shape_id,departure_eira,arrival_munkkivuori
20260814,1020_20260813_Pe_1_1512,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,15:12:00,15:55:00
20260814,1020_20260813_Pe_1_1522,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,15:22:00,16:05:00
20260814,1020_20260813_Pe_1_1532,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,15:32:00,16:15:00
20260814,1020_20260813_Pe_1_1542,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,15:42:00,16:25:00
20260814,1020_20260813_Pe_1_1552,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,15:52:00,16:36:00
20260814,1020_20260813_Pe_1_1604,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,16:04:00,16:48:00
20260814,1020_20260813_Pe_1_1616,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,16:16:00,17:00:00
20260814,1020_20260813_Pe_1_1627,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,16:27:00,17:11:00
20260814,1020_20260813_Pe_1_1638,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,16:38:00,17:22:00
20260814,1020_20260813_Pe_1_1648,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,16:48:00,17:32:00
20260814,1020_20260813_Pe_1_1659,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,16:59:00,17:43:00
20260814,1020_20260813_Pe_1_1710,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,17:10:00,17:53:00
20260814,1020_20260813_Pe_1_1721,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,17:21:00,18:04:00
20260814,1020_20260813_Pe_1_1732,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,17:32:00,18:15:00
20260814,1020_20260813_Pe_1_1743,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,17:43:00,18:25:00
20260814,1020_20260813_Pe_1_1754,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,17:54:00,18:36:00
20260814,1020_20260813_Pe_1_1805,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,18:05:00,18:47:00
20260814,1020_20260813_Pe_1_1816,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,18:16:00,18:58:00
20260814,1020_20260813_Pe_1_1827,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,18:27:00,19:09:00
20260814,1020_20260813_Pe_1_1838,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,18:38:00,19:19:00
20260814,1020_20260813_Pe_1_1850,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,18:50:00,19:31:00
20260814,1020_20260813_Pe_1_1902,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,19:02:00,19:43:00
20260814,1020_20260813_Pe_1_1916,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,19:16:00,19:57:00
20260814,1020_20260813_Pe_1_1931,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,19:31:00,20:12:00
20260814,1020_20260813_Pe_1_1946,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,19:46:00,20:26:00
20260814,1020_20260813_Pe_1_2001,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,20:01:00,20:41:00
20260814,1020_20260813_Pe_1_2016,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,20:16:00,20:56:00
20260814,1020_20260813_Pe_1_2030,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,20:30:00,21:10:00
20260814,1020_20260813_Pe_1_2045,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,20:45:00,21:24:00
20260814,1020_20260813_Pe_1_2101,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,21:01:00,21:40:00
20260814,1020_20260813_Pe_1_2117,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,21:17:00,21:55:00
20260814,1020_20260813_Pe_1_2135,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,21:35:00,22:13:00
20260814,1020_20260813_Pe_1_2153,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,21:53:00,22:30:00
20260814,1020_20260813_Pe_1_2213,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,22:13:00,22:49:00
20260814,1020_20260813_Pe_1_2232,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,22:32:00,23:08:00
20260814,1020_20260813_Pe_1_2252,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,22:52:00,23:28:00
20260814,1020_20260813_Pe_1_2312,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,23:12:00,23:47:00
20260814,1020_20260813_Pe_1_2337,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,23:37:00,24:11:00
20260814,1020_20260813_Pe_1_2407,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,24:07:00,24:40:00
20260814,1020_20260813_Pe_1_2437,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,24:37:00,25:09:00
20260814,1020_20260813_Pe_1_2507,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,25:07:00,25:38:00
20260814,1020_20260813_Pe_1_2537,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,25:37:00,26:07:00
20260814,1020_20260813_Pe_1_2607,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,26:07:00,26:37:00
20260814,1020_20260813_Pe_1_2637,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,26:37:00,27:06:00
20260814,1020_20260813_Pe_1_2707,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,27:07:00,27:36:00
20260814,1020_20260813_Pe_1_2737,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,27:37:00,28:06:00
20260814,1020_20260813_Pe_1_2807,1020_20260813_20261011_Pe,Munkkivuori,0,1020_20260425_1,28:07:00,28:36:00
