站点,车辆1,车辆2,车辆3,车辆4,车辆5,车辆6
1,689.0,635.0,547.0,511.0,446.0,554.0
2,637.0,539.0,482.0,454.0,402.0,509.0
3,565.0,454.0,416.0,394.0,353.0,461.0
4,551.0,412.0,365.0,347.0,321.0,446.0
5,572.0,395.0,322.0,310.0,296.0,435.0
6,600.0,396.0,288.0,278.0,281.0,412.0
7,785.0,681.0,429.0,375.0,354.0,518.0
8,833.0,851.0,803.0,696.0,547.0,647.0
9,839.0,865.0,847.0,791.0,675.0,712.0
10,826.0,845.0,811.0,747.0,623.0,686.0
11,793.0,789.0,743.0,668.0,557.0,645.0
12,751.0,730.0,660.0,582.0,660.0,605.0
