站点,车辆1,车辆2,车辆3,车辆4,车辆5,车辆6
1,693.0,584.0,556.0,548.0,526.0,477.0
2,625.0,522.0,493.0,489.0,473.0,429.0
3,541.0,459.0,428.0,428.0,415.0,379.0
4,546.0,413.0,389.0,389.0,379.0,351.0
5,584.0,380.0,358.0,358.0,351.0,331.0
6,626.0,355.0,343.0,343.0,331.0,311.0
7,807.0,616.0,479.0,434.0,444.0,393.0
8,834.0,845.0,823.0,745.0,611.0,554.0
9,838.0,861.0,854.0,793.0,725.0,651.0
10,826.0,843.0,810.0,730.0,697.0,624.0
11,792.0,784.0,692.0,674.0,641.0,577.0
12,752.0,702.0,628.0,616.0,587.0,628.0
