站点,车辆1,车辆2,车辆3,车辆4,车辆5,车辆6
1,433.0,427.0,433.0,421.0,444.0,452.0
2,374.0,374.0,369.0,365.0,394.0,401.0
3,349.0,317.0,317.0,313.0,340.0,310.0
4,331.0,283.0,282.0,277.0,316.0,289.0
5,331.0,263.0,255.0,265.0,262.0,287.0
6,342.0,243.0,235.0,251.0,258.0,291.0
7,515.0,430.0,362.0,344.0,408.0,465.0
8,655.0,673.0,661.0,576.0,585.0,611.0
9,659.0,679.0,605.0,619.0,601.0,619.0
10,641.0,653.0,578.0,603.0,583.0,603.0
11,599.0,541.0,535.0,535.0,545.0,563.0
12,547.0,489.0,501.0,483.0,501.0,511.0
