站点,车辆1,车辆2,车辆3,车辆4,车辆5,车辆6
1,552.0,482.0,472.0,463.0,472.0,448.0
2,551.0,426.0,414.0,410.0,414.0,401.0
3,544.0,369.0,358.0,361.0,346.0,351.0
4,591.0,352.0,323.0,323.0,309.0,317.0
5,635.0,380.0,301.0,304.0,282.0,258.0
6,651.0,437.0,299.0,280.0,232.0,239.0
7,665.0,668.0,630.0,413.0,313.0,336.0
8,677.0,696.0,692.0,677.0,615.0,606.0
9,682.0,701.0,627.0,627.0,620.0,623.0
10,680.0,665.0,612.0,607.0,612.0,601.0
11,663.0,586.0,573.0,566.0,556.0,552.0
12,577.0,543.0,525.0,520.0,525.0,504.0
