站点,车辆1,车辆2,车辆3,车辆4,车辆5,车辆6
1,583.0,583.0,593.0,578.0,587.0,564.0
2,508.0,526.0,521.0,521.0,530.0,486.0
3,453.0,463.0,470.0,464.0,452.0,421.0
4,417.0,434.0,436.0,430.0,402.0,389.0
5,400.0,413.0,417.0,401.0,380.0,373.0
6,387.0,394.0,400.0,364.0,387.0,368.0
7,545.0,566.0,505.0,515.0,497.0,515.0
8,773.0,790.0,725.0,729.0,729.0,723.0
9,829.0,796.0,778.0,789.0,789.0,782.0
10,800.0,764.0,764.0,764.0,764.0,759.0
11,696.0,704.0,704.0,705.0,704.0,710.0
12,632.0,649.0,647.0,645.0,647.0,655.0
