站点,车辆1,车辆2,车辆3,车辆4,车辆5,车辆6
1,572.0,596.0,592.0,572.0,535.0,531.0
2,515.0,544.0,538.0,492.0,477.0,481.0
3,467.0,481.0,465.0,423.0,424.0,429.0
4,433.0,446.0,405.0,396.0,390.0,399.0
5,417.0,416.0,387.0,385.0,377.0,387.0
6,396.0,379.0,368.0,371.0,368.0,377.0
7,546.0,520.0,512.0,520.0,506.0,529.0
8,731.0,751.0,751.0,755.0,762.0,749.0
9,760.0,772.0,783.0,772.0,792.0,758.0
10,740.0,763.0,763.0,763.0,764.0,697.0
11,695.0,695.0,721.0,715.0,683.0,645.0
12,638.0,668.0,657.0,662.0,597.0,592.0
