,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD
0,19,,,,,,83.29994658119644,,1097.1773931855057,1523.4021819526627,1754.8602071005917,3.6592077847311226
0,12,,,,,,84.86535256410241,,1119.3145761481212,1540.8863039399625,1773.0176360225141,2.646777215712479
0,21,,,,,,78.38056623931179,,1093.922454120187,1424.8444153903624,1623.5958162121779,3.24732456905441
0,12,,,,,,76.18190170940008,,670.7980952380952,1332.4219047619047,1281.8150476190476,2.970763953744939
0,24,,,,,,72.59127136752264,,1212.7729795352063,1363.8621946773605,1655.2446226759023,3.2625429482250192
0,5,,,,,,72.55242521367491,,1022.0014109347443,1310.7495392554367,1486.1028381865094,2.1129052522722387
0,6,,,,,,75.48909188033812,,1386.0437242798355,1459.4594296228152,1756.8445262189512,2.70430549163819
0,20,,,,,,78.7574893162391,,916.5358580314672,1405.93368204745,1512.5012142723706,2.5567266763551193
0,13,,,,,,82.9784081196612,,1014.4269456681351,1489.6783229930438,1644.3363414175597,2.4446561103367133
0,26,,,,,,72.62462606837663,,1285.1377014716188,1395.4370763876168,1739.4319472430848,2.947811003098393
0,17,,,,,,67.10084401709531,,1203.1264986967853,1306.7286113699906,1500.6469711090401,2.594033500553659
0,17,,,,,,73.73414529914463,,1064.522294138799,1364.220621257485,1560.621631736527,2.8259118779416244
0,13,,,,,,74.95104700854971,,1151.7200782500445,1418.54526710403,1597.287160262418,2.362056816865165
0,6,,,,,,70.76757478632653,,1026.4260190806592,1311.9427159590043,1447.6621522693997,2.3686645091025915
0,11,,,,,,72.12503205128286,,1085.766774891775,1367.5828347045624,1578.9912116679131,2.103441638778381
0,9,,,,,,77.04496794871785,,1138.389369592089,1435.8360655737704,1660.1011235955057,2.66333826605959
0,4,,,,,,64.86030982905767,,1214.275189234651,1290.2639411870182,1535.0717231486462,2.6091290340449707
0,12,,,,,,68.43654914529836,,1361.1998986999831,1358.5726573938507,1698.617130307467,2.7347417987287255
0,15,,,,,,73.41872863247767,,961.06457960644,1361.4650512581547,1446.9252562907736,1.9471042144412507
0,8,,,,,,76.61405982905954,,1341.6002032864644,1416.896551724138,1729.3968253968253,2.925879529973665
