,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,0,363,735,1075,1427,1800,2162,2501,2885,3260,3615,3980,4319,4688,5050,5382,5768,6104,6469,6844,7210,7578,7905,8295
1,2,61,407,792,1120,1473,1844,2213,2558,2928,3312,3659,4025,4372,4745,5102,5437,5827,6153,6520,6888,7263,7621,7970,8348
2,3,183,495,895,1206,1563,1928,2313,2664,3012,3420,3743,4107,4475,4854,5194,5527,5930,6237,6621,6968,7357,7699,8083,8457
3,4,272,563,983,1279,1630,1995,2391,2752,3079,3497,3810,4176,4557,4939,5273,5601,6016,6301,6703,7034,7439,7763,8171,8536
4,5,447,682,1136,1405,1750,2113,2528,2908,3196,3637,3937,4296,4693,5089,5414,5729,6172,6427,6841,7154,7582,7874,8332,8682
5,6,604,809,1291,1521,1869,2235,2666,3063,3312,3766,4059,4419,4836,5250,5542,5858,6326,6540,6981,7270,7722,7993,8504,8828
6,7,764,928,1443,1642,1983,2354,2803,3218,3426,3900,4178,4539,4977,5405,5676,5990,6477,6657,7119,7387,7866,8110,8665,8975
7,8,841,976,1499,1685,2024,2399,2856,3274,3470,3961,4217,4590,5039,5467,5721,6033,6532,6698,7172,7444,7925,8157,8734,9037
8,9,980,1053,1621,1768,2106,2496,2958,3378,3552,4061,4314,4685,5158,5592,5814,6127,6664,6789,7296,7528,8044,8245,8855,9147
9,10,1056,1110,1699,1825,2160,2558,3025,3450,3612,4130,4376,4748,5231,5673,5876,6193,6740,6846,7367,7590,8120,8302,8932,9214
10,11,1254,1258,1892,1979,2308,2715,3196,3652,3761,4300,4530,4900,5417,5869,6041,6360,6938,6991,7543,7739,8306,8449,9138,9397
11,12,1344,1345,1975,2041,2367,2779,3268,3732,3820,4371,4588,4967,5502,5949,6108,6437,7019,7053,7616,7798,8394,8505,9242,9470
12,13,1425,1426,2047,2092,2417,2833,3332,3801,3867,4433,4638,5022,5572,6015,6165,6493,7092,7102,7680,7849,8458,8552,9319,9534
13,14,1542,1547,2156,2174,2497,2915,3430,3904,3943,4527,4717,5103,5666,6121,6254,6581,7200,7201,7777,7927,8564,8631,9429,9634
14,15,1640,1640,2253,2254,2566,2977,3505,3983,3993,4615,4782,5178,5744,6203,6315,6657,7298,7299,7870,7986,8666,8679,9525,9700
15,16,1787,1797,2390,2391,2677,3106,3642,4144,4153,4747,4869,5290,5913,6352,6407,6780,7472,7476,8005,8075,8817,8830,9693,9803
16,17,1904,1905,2494,2496,2749,3174,3733,4236,4236,4859,4935,5382,6005,6456,6479,6859,7582,7658,8100,8152,8948,8951,9800,9881
17,18,2033,2124,2601,2605,2824,3272,3833,4334,4368,4954,4998,5453,6120,6554,6557,6957,7727,7738,8200,8211,9066,9078,9934,9952
18,19,2190,2194,2707,2707,2886,3374,3936,4434,4434,5071,5078,5560,6245,6654,6655,7050,7882,7895,8307,8326,9227,9239,10090,10090
19,20,2321,2387,2885,2891,3002,3491,4083,4609,4616,5204,5222,5671,6421,6817,6818,7183,8015,8041,8428,8440,9367,9370,10242,10259
20,21,2448,2525,3028,3032,3091,3628,4226,4737,4798,5354,5358,5779,6564,6963,6969,7309,8141,8189,8545,8552,9480,9519,10368,10414
21,22,2596,2737,3213,3216,3219,3798,4425,4931,4939,5524,5527,5911,6712,7208,7217,7458,8284,8430,8704,8713,9637,9682,10534,10617
22,23,2698,2840,3339,3340,3341,3909,4513,5066,5066,5586,5624,5993,6789,7316,7333,7532,8378,8566,8801,8817,9732,9783,10620,10763
23,24,2798,2972,3449,3480,3484,3996,4610,5194,5195,5685,5731,6089,6893,7438,7438,7624,8475,8703,8899,8907,9848,9870,10728,10885
24,25,2941,3106,3585,3589,3590,4115,4728,5330,5333,5792,5862,6197,7019,7565,7608,7731,8587,8894,9015,9028,9968,10021,10871,11026
