,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,0,363,735,1075,1427,1800,2162,2501,2885,3260,3615,3980,4319,4688,5050,5382,5768,6104,6469,6844,7210,7578,7905,8295
1,2,41,424,797,1131,1469,1863,2206,2553,2929,3309,3671,4025,4383,4731,5098,5431,5824,6152,6521,6894,7260,7629,7971,8349
2,3,124,589,949,1282,1608,2022,2330,2709,3071,3452,3829,4152,4549,4866,5222,5589,5964,6293,6677,7043,7410,7751,8149,8449
3,4,197,739,1085,1419,1736,2166,2443,2852,3202,3582,3973,4266,4699,4989,5333,5734,6089,6421,6820,7178,7546,7860,8311,8531
4,5,338,948,1282,1614,1907,2369,2601,3045,3378,3763,4175,4428,4909,5158,5491,5930,6269,6596,7016,7365,7734,8016,8535,8679
5,6,461,1160,1481,1810,2080,2574,2761,3240,3556,3945,4378,4590,5121,5327,5651,6127,6452,6773,7214,7554,7924,8174,8761,8826
6,7,573,1378,1687,2013,2257,2785,2925,3441,3738,4133,4588,4758,5340,5502,5816,6330,6639,6955,7417,7748,8119,8337,8993,9067
7,8,639,1492,1786,2116,2359,2894,3012,3554,3843,4232,4698,4845,5454,5599,5900,6444,6732,7056,7528,7853,8225,8419,9119,9119
8,9,750,1659,1940,2269,2499,3054,3137,3711,3986,4376,4858,4973,5621,5735,6024,6603,6873,7197,7686,8003,8376,8541,9298,9300
9,10,808,1796,2062,2393,2617,3185,3240,3843,4107,4495,4989,5078,5758,5848,6125,6737,6986,7315,7817,8127,8501,8640,9447,9449
10,11,950,2055,2310,2636,2825,3437,3438,4078,4321,4718,5239,5279,6019,6054,6323,6975,7212,7530,8058,8357,8732,8836,9722,9796
11,12,1018,2194,2435,2762,2945,3570,3570,4212,4444,4839,5372,5434,6158,6169,6426,7111,7328,7650,8191,8483,8859,8937,9873,9875
12,13,1065,2321,2548,2877,3056,3692,3694,4336,4558,4948,5494,5546,6284,6288,6519,7235,7432,7760,8313,8599,8976,9028,10012,10014
