,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,0,363,735,1075,1427,1800,2162,2501,2885,3260,3615,3980,4319,4688,5050,5382,5768,6104,6469,6844,7210,7578,7905,8295
1,2,55,414,799,1142,1489,1860,2204,2561,2939,3308,3679,4038,4362,4734,5108,5432,5816,6165,6517,6902,7264,7626,7946,8342
2,3,176,584,1017,1428,1773,2140,2457,2841,3207,3568,3965,4321,4617,4990,5391,5700,6069,6451,6782,7183,7532,7885,8198,8603
3,4,254,695,1146,1592,2027,2405,2699,3106,3462,3815,4235,4588,4861,5234,5658,5954,6311,6721,7035,7449,7787,8131,8439,8853
4,5,416,832,1305,1763,2279,2729,2985,3430,3770,4109,4568,4915,5149,5524,5985,6260,6597,7054,7337,7774,8095,8425,8723,9150
5,6,573,1015,1469,1970,2495,2982,3271,3756,4079,4405,4903,5244,5439,5814,6314,6568,6883,7389,7641,8102,8404,8719,9008,9449
6,7,718,1149,1633,2175,2698,3237,3563,4088,4393,4706,5244,5580,5733,6110,6650,6881,7175,7730,7950,8436,8718,9019,9297,9754
7,8,796,1205,1707,2264,2805,3415,3779,4318,4617,4926,5477,5811,5992,6328,6881,7105,7391,7963,8172,8666,8942,9238,9513,9974
8,9,913,1344,1855,2421,2959,3566,4034,4599,4887,5186,5765,6095,6276,6585,7165,7374,7646,8251,8439,8949,9212,9498,9766,10238
9,10,994,1420,1974,2501,3105,3710,4222,4806,5131,5423,5977,6349,6517,6819,7374,7617,7879,8463,8680,9202,9456,9735,9998,10476
10,11,1172,1595,2213,2761,3385,3983,4497,5133,5482,5757,6335,6727,6861,7146,7713,7966,8200,8802,9024,9577,9807,10067,10317,10814
11,12,1276,1765,2344,2944,3566,4203,4724,5366,5728,5996,6594,6983,7104,7382,7969,8211,8434,9061,9267,9832,10053,10305,10551,11055
12,13,1337,1880,2413,3073,3710,4350,4936,5524,5963,6225,6840,7226,7343,7609,8212,8446,8660,9307,9500,10075,10288,10534,10776,11286
13,14,1441,2016,2577,3216,3879,4515,5081,5689,6218,6485,7127,7510,7631,7866,8496,8714,8914,9594,9775,10357,10557,10793,11028,11548
14,15,1545,2121,2699,3364,4034,4664,5218,5842,6382,6716,7375,7755,7873,8094,8741,8950,9141,9842,10013,10602,10794,11024,11254,11780
15,16,1718,2252,2897,3526,4210,4828,5381,6003,6561,6979,7639,8042,8154,8353,9028,9221,9398,10132,10289,10887,11068,11286,11509,12045
16,17,1817,2358,3009,3688,4340,4945,5517,6116,6709,7218,7802,8303,8410,8594,9289,9471,9658,10397,10554,11148,11307,11528,11746,12290
17,18,1928,2470,3115,3812,4466,5050,5625,6239,6825,7386,7930,8522,8660,8828,9542,9713,9909,10653,10810,11400,11541,11764,11978,12529
18,19,2033,2600,3275,3957,4580,5189,5749,6366,6976,7475,8075,8644,8904,9058,9789,9951,10156,10903,11060,11647,11771,11997,12206,12763
19,20,2163,2807,3442,4133,4750,5358,5869,6535,7141,7612,8254,8822,9195,9329,10076,10232,10451,11194,11363,11941,12041,12267,12469,13026
