time_s,station_position
25.806451612903224,1.4318181818181799
51.61290322580645,1.6785714285714306
77.41935483870968,1.8636363636363598
103.2258064516129,2.172077922077925
129.03225806451613,2.4188311688311686
154.83870967741936,2.7272727272727266
180.6451612903226,2.9740259740259773
206.4516129032258,3.2824675324675283
232.25806451612905,3.529220779220779
258.06451612903226,3.7759740259740227
283.8709677419355,4.022727272727273
309.6774193548387,4.392857142857146
335.48387096774195,4.6396103896103895
361.2903225806452,4.948051948051948
387.09677419354836,5.194805194805191
412.9032258064516,5.3798701298701275
438.7096774193549,5.75
464.5161290322581,5.996753246753244
490.32258064516134,6.366883116883116
516.1290322580645,6.61363636363636
541.9354838709677,6.983766233766232
567.741935483871,7.2305194805194795
593.5483870967741,7.600649350649348
619.3548387096774,7.847402597402599
645.1612903225806,8.217532467532468
670.9677419354839,8.340909090909093
696.7741935483871,8.525974025974026
722.5806451612904,8.772727272727273
748.3870967741935,8.896103896103895
774.1935483870967,9.01948051948052
800.0,9.327922077922075
825.8064516129032,9.636363636363637
851.6129032258065,9.88311688311688
877.4193548387098,10.191558441558442
903.2258064516129,10.438311688311689
929.0322580645162,10.808441558441558
954.8387096774194,11.055194805194805
980.6451612903227,11.425324675324674
1006.4516129032259,11.672077922077925
1032.258064516129,12.042207792207794
1058.0645161290322,12.288961038961038
1083.8709677419354,12.5974025974026
1109.6774193548385,12.782467532467532
1135.483870967742,12.967532467532468
1161.2903225806451,13.275974025974026
1187.0967741935483,13.522727272727273
1212.9032258064517,13.76948051948052
1238.7096774193549,14.077922077922075
1264.516129032258,14.386363636363637
1290.3225806451612,14.63311688311688
1316.1290322580646,14.941558441558442
1341.9354838709678,15.188311688311689
1367.741935483871,15.373376623376625
1393.5483870967741,15.496753246753244
1419.3548387096776,15.743506493506494
1445.1612903225807,15.990259740259738
1470.967741935484,16.051948051948052
1496.774193548387,16.113636363636363
1522.5806451612905,16.36038961038961
1548.3870967741934,16.607142857142858
1574.1935483870968,16.977272727272727
1600.0,17.224025974025974
1625.8064516129034,17.47077922077922
1651.6129032258063,17.840909090909093
1677.4193548387095,18.025974025974026
1703.225806451613,18.211038961038962
1729.032258064516,18.457792207792206
1754.8387096774195,18.766233766233768
1780.6451612903224,18.9512987012987
1806.4516129032259,19.198051948051948
1832.258064516129,19.56818181818182
1858.0645161290324,19.814935064935064
1883.8709677419354,20.123376623376622
1909.6774193548388,20.43181818181818
1935.483870967742,20.616883116883116
1961.2903225806454,20.925324675324674
1987.0967741935483,21.17207792207792
2012.9032258064517,21.542207792207794
2038.7096774193549,21.788961038961038
2064.516129032258,21.974025974025974
2090.3225806451615,22.282467532467532
2116.1290322580644,22.59090909090909
2141.935483870968,22.89935064935065
2167.7419354838707,23.146103896103895
2193.548387096774,23.454545454545453
2219.354838709677,23.76298701298701
2245.1612903225805,24.009740259740262
2270.967741935484,24.256493506493506
2296.7741935483873,24.626623376623378
2322.5806451612902,24.873376623376622
2348.3870967741937,25.058441558441558
2374.1935483870966,25.366883116883116
2400.0,25.613636363636363
2425.8064516129034,25.983766233766232
2451.612903225807,26.16883116883117
2477.4193548387098,26.415584415584416
2503.2258064516127,26.662337662337663
2529.032258064516,26.97077922077922
2554.838709677419,27.155844155844157
2580.6451612903224,27.34090909090909
2606.451612903226,27.587662337662337
2632.2580645161293,27.772727272727273
2658.064516129032,28.019480519480517
2683.8709677419356,28.266233766233768
2709.6774193548385,28.4512987012987
2735.483870967742,28.759740259740262
2761.290322580645,28.944805194805195
2787.0967741935483,29.191558441558442
2812.9032258064517,29.5
2838.709677419355,29.746753246753247
2864.516129032258,29.870129870129873
2890.3225806451615,30.17857142857143
2916.1290322580644,30.425324675324674
2941.935483870968,30.795454545454547
2967.741935483871,30.980519480519483
2993.548387096774,31.165584415584416
3019.354838709677,31.412337662337663
3045.161290322581,31.65909090909091
3070.967741935484,31.905844155844157
3096.774193548387,32.1525974025974
3122.5806451612902,32.46103896103896
3148.3870967741937,32.76948051948052
3174.193548387097,32.95454545454545
3200.0,33.13961038961039
3225.806451612903,33.50974025974026
3251.612903225807,33.756493506493506
3277.4193548387098,34.12662337662338
3303.2258064516127,34.37337662337662
3329.032258064516,34.743506493506494
3354.838709677419,34.99025974025974
3380.645161290323,35.36038961038961
3406.451612903226,35.607142857142854
3432.258064516129,35.97727272727273
3458.064516129032,36.16233766233766
3483.8709677419356,36.22402597402598
3509.677419354839,36.47077922077922
3535.483870967742,36.717532467532465
3561.290322580645,36.9025974025974
3587.0967741935488,37.08766233766234
3612.9032258064517,37.33441558441558
3638.7096774193546,37.642857142857146
3664.516129032258,37.827922077922075
3690.3225806451615,38.01298701298701
3716.129032258065,38.19805194805195
3741.935483870968,38.56818181818182
3767.7419354838707,38.753246753246756
