,0
0,0.2961900482575099
1,0.23454861094554266
2,0.11095918094118436
3,0.09466504057248433
4,0.05355941907813152
5,0.07981622032821178
6,0.04363942239433527
7,0.06566142539183299
8,0.037589718122035265
9,0.061277793099482857
10,0.0518036304662625
11,0.03554770816117525
12,0.07096497031549613
13,0.10232363889614741
14,0.08280099928379059
15,0.05355514648060004
16,0.03921785484999418
17,0.05823097781588634
18,0.05216558836400509
19,0.05798803394039472
20,0.054814330923060574
21,0.03947825822979212
22,0.03966537009303769
23,0.03514360201855501
24,0.060357856253782906
25,0.04832896962761879
26,0.04735356786598762
27,0.039282919839024544
28,0.04476697059969107
29,0.037029548858602844
30,0.03626558122535547
31,0.033186630656321846
32,0.046963772581269346
33,0.05683776860435804
34,0.04699361634751161
35,0.03027935077746709
36,0.05974426648269097
37,0.05176584981381893
38,0.038877400026346244
39,0.036568851210176945
40,0.05257621935258309
41,0.03272175850967566
42,0.06909326215585072
43,0.042302160834272705
44,0.02708637434989214
45,0.061535696809490524
46,0.028669210771719616
47,0.039060207239041723
48,0.04260739916935563
49,0.03188062723105153
50,0.051897020700077214
51,0.056752318826814495
52,0.022880200762301683
53,0.04098566838850578
54,0.04411038818458716
55,0.0419089092562596
56,0.043532803965111576
57,0.046659872556726135
58,0.03774447925388813
59,0.0346457843358318
60,0.02984895510599017
61,0.027399712552626927
62,0.05224242294207215
63,0.10275138914585114
64,0.037276101453850664
65,0.031671108367542423
66,0.05309154031177362
67,0.04082776621604959
68,0.02589365327730775
69,0.041969267961879574
70,0.02397621376439929
71,0.026508679691081245
72,0.023930350163330633
73,0.038662487640976906
74,0.02749962266534567
75,0.046316820507248245
76,0.0428583025932312
77,0.044477797423799835
78,0.03792819349716107
79,0.05933964625000954
80,0.044302720886965595
81,0.059012505846718945
82,0.036344295678039394
83,0.04270623903721571
84,0.04520295187830925
85,0.06820268121858437
86,0.048343863959113755
87,0.06223246268928051
88,0.05713048453132311
89,0.08493700561424096
90,0.1030045406272014
91,0.09823441381255786
92,0.12932343843082586
93,0.08184056666990121
94,0.16088145847121874
95,0.1603978561858336
96,0.20440822715560594
97,0.21914371972282728
98,0.16247273733218512
99,0.17654698342084885
100,0.14077599594990411
101,0.16039253895481428
102,0.17077330003182092
103,0.25516182246307534
104,0.206303300956885
105,0.2084160397450129
106,0.16657413045565286
107,0.15144025286038718
108,0.1668504166106383
109,0.16193019226193428
110,0.10695031409462293
111,0.09632087250550588
112,0.14619345466295877
113,0.06235325212279955
114,0.11023790513475736
115,0.07807612667481105
116,0.06993430977066357
117,0.05263477688034376
118,0.05003090389072895
119,0.05950891226530075
120,0.06482100610931714
121,0.0684182308614254
122,0.06541362684220076
123,0.0624747167651852
124,0.06958305059621732
125,0.06572687129179637
126,0.07296777702867985
127,0.08128232974559069
128,0.058534239729245506
129,0.07492742501199245
130,0.06175178413589796
131,0.05458783358335495
132,0.07676714720825355
133,0.03708478466918071
134,0.04437437281012535
135,0.0701486902932326
136,0.0627972399815917
137,0.06709655684729417
138,0.0687295775860548
139,0.09722791736324628
140,0.04956485889852047
141,0.09749855659902096
142,0.052224950244029365
143,0.06036441338558992
144,0.06527227287491162
145,0.12176715272168319
146,0.06049024096379677
147,0.10985584557056427
148,0.1829250305891037
149,0.0853703934699297
150,0.11329132908334334
151,0.09951846736172835
152,0.12680715136229992
153,0.12075768535335858
154,0.14230438321828842
155,0.08908723915616672
156,0.16567932876447836
157,0.185441163678964
158,0.08281542174518108
159,0.19654243998229504
160,0.16433617658913136
161,0.22890326753258705
162,0.25427572925885517
163,0.18157070005933443
164,0.2423904798924923
165,0.21413839608430862
166,0.2592122827967008
167,0.12924870196729898
168,0.2923970303187768
169,0.138826634734869
170,0.33972029325862724
171,0.2354411482810974
172,0.3197575993835926
173,0.14686065601805845
174,0.2081136554479599
175,0.10577752689520518
176,0.13885918104400238
177,0.15329369840522608
178,0.1684932162364324
179,0.1148573961108923
180,0.04257020571579536
181,0.07171616579095523
182,0.08714298655589421
183,0.06418513087555766
184,0.043390107030669846
185,0.0665400264163812
186,0.048083040242393814
187,0.05456165007005135
188,0.05465407483279705
189,0.0716830821086963
190,0.041756363585591316
191,0.05706733030577501
192,0.07754735400279363
193,0.055916200702389084
194,0.05530921431879202
195,0.051920569191376366
196,0.03703931191315254
197,0.05032468649248282
198,0.05481307953596115
199,0.0661811822404464
200,0.04491062959035238
201,0.09386132471263409
202,0.03530291188508272
203,0.09071031771600246
204,0.11858955149849255
205,0.079941276460886
206,0.20428340385357538
207,0.21463601167003313
208,0.4236282284061114
209,0.5366808474063873
210,0.6316116700569788
211,0.6827295025189718
212,0.5603028026719888
213,0.6076861831049124
214,0.41720446323355037
215,0.4216957489649455
216,0.37951450422406197
217,0.4822843571503957
218,0.3545092133184274
219,0.23113798101743063
220,0.12370054858426253
221,0.10539768201609452
222,0.05393393337726593
223,0.0603984867533048
224,0.0284928676361839
225,0.03342358861118555
226,0.04098906352495154
227,0.04120229619244734
228,0.0498139268408219
229,0.038425554831822716
230,0.0391837302595377
231,0.034770628437399864
232,0.04045782703906298
233,0.07609310063223045
234,0.03745161555707455
235,0.039735653127233185
236,0.045667760695020355
237,0.04215698347737392
238,0.05813609374066194
239,0.057133289985358715
240,0.030994343260924023
241,0.07173359363029401
242,0.06446777967115243
243,0.05045993160456419
244,0.060328809544444084
245,0.06479315770169099
246,0.04099079935501019
247,0.03176846168935299
248,0.07366517217208941
249,0.06272711992884676
250,0.05628389399498701
251,0.06532197693983714
252,0.03721731839080652
253,0.06097068792829911
254,0.08333167992532253
255,0.04806697958459457
256,0.03511280783762535
257,0.055164868012070656
258,0.03957445422808329
259,0.06958770689864953
