time_step,loc_rad,station_position,is_stopped,stop_id
492,0.3723369071,1.7111111111,0,-1
493,0.3752457892,1.7166666667,0,-1
494,0.3781546713,1.7222222222,0,-1
495,0.3810635534,1.7277777778,0,-1
496,0.3839724354,1.7333333333,0,-1
497,0.3868813175,1.7388888889,0,-1
498,0.3897901996,1.7444444444,0,-1
499,0.3926990817,1.7500000000,0,-1
500,0.3956079638,1.7555555556,0,-1
501,0.3985168459,1.7611111111,0,-1
502,0.4014257280,1.7666666667,0,-1
503,0.4043346100,1.7722222222,0,-1
504,0.4072434921,1.7777777778,0,-1
505,0.4101523742,1.7833333333,0,-1
506,0.4130612563,1.7888888889,0,-1
507,0.4159701384,1.7944444444,0,-1
508,0.4188790205,1.8000000000,0,-1
509,0.4217879026,1.8055555556,0,-1
510,0.4246967847,1.8111111111,0,-1
511,0.4276056667,1.8166666667,0,-1
512,0.4305145488,1.8222222222,0,-1
513,0.4334234309,1.8277777778,0,-1
514,0.4363323130,1.8333333333,0,-1
515,0.4392411951,1.8388888889,0,-1
516,0.4421500772,1.8444444444,0,-1
517,0.4450589593,1.8500000000,0,-1
518,0.4479678413,1.8555555556,0,-1
519,0.4508767234,1.8611111111,0,-1
520,0.4537856055,1.8666666667,0,-1
521,0.4566944876,1.8722222222,0,-1
522,0.4596033697,1.8777777778,0,-1
523,0.4625122518,1.8833333333,0,-1
524,0.4654211339,1.8888888889,0,-1
525,0.4683300160,1.8944444444,0,-1
526,0.4712388980,1.9000000000,0,-1
527,0.4741477801,1.9055555556,0,-1
528,0.4770566622,1.9111111111,0,-1
529,0.4799655443,1.9166666667,0,-1
530,0.4828744264,1.9222222222,0,-1
531,0.4857833085,1.9277777778,0,-1
532,0.4886921906,1.9333333333,0,-1
533,0.4916010726,1.9388888889,0,-1
534,0.4945099547,1.9444444444,0,-1
535,0.4974188368,1.9500000000,0,-1
536,0.5003277189,1.9555555556,0,-1
537,0.5032366010,1.9611111111,0,-1
538,0.5061454831,1.9666666667,0,-1
539,0.5090543652,1.9722222222,0,-1
540,0.5119632473,1.9777777778,0,-1
541,0.5148721293,1.9833333333,0,-1
542,0.5177810114,1.9888888889,0,-1
543,0.5206898935,1.9944444444,0,-1
544,0.5206898935,1.9944444444,1,1
545,0.5206898935,1.9944444444,1,1
546,0.5206898935,1.9944444444,1,1
547,0.5206898935,1.9944444444,1,1
548,0.5206898935,1.9944444444,1,1
549,0.5206898935,1.9944444444,1,1
550,0.5206898935,1.9944444444,1,1
551,0.5235987756,2.0000000000,0,-1
552,0.5265076577,2.0055555556,0,-1
553,0.5294165398,2.0111111111,0,-1
554,0.5323254219,2.0166666667,0,-1
555,0.5352343039,2.0222222222,0,-1
556,0.5381431860,2.0277777778,0,-1
557,0.5410520681,2.0333333333,0,-1
558,0.5439609502,2.0388888889,0,-1
559,0.5468698323,2.0444444444,0,-1
560,0.5497787144,2.0500000000,0,-1
561,0.5526875965,2.0555555556,0,-1
562,0.5555964786,2.0611111111,0,-1
563,0.5585053606,2.0666666667,0,-1
564,0.5614142427,2.0722222222,0,-1
565,0.5643231248,2.0777777778,0,-1
