time_step,loc_rad,station_position,is_stopped,stop_id
1566,0.3374303221,1.6444444444,0,-1
1567,0.3403392041,1.6500000000,0,-1
1568,0.3432480862,1.6555555556,0,-1
1569,0.3461569683,1.6611111111,0,-1
1570,0.3490658504,1.6666666667,0,-1
1571,0.3519747325,1.6722222222,0,-1
1572,0.3548836146,1.6777777778,0,-1
1573,0.3577924967,1.6833333333,0,-1
1574,0.3607013787,1.6888888889,0,-1
1575,0.3636102608,1.6944444444,0,-1
1576,0.3665191429,1.7000000000,0,-1
1577,0.3694280250,1.7055555556,0,-1
1578,0.3723369071,1.7111111111,0,-1
1579,0.3752457892,1.7166666667,0,-1
1580,0.3781546713,1.7222222222,0,-1
1581,0.3810635534,1.7277777778,0,-1
1582,0.3839724354,1.7333333333,0,-1
1583,0.3868813175,1.7388888889,0,-1
1584,0.3897901996,1.7444444444,0,-1
1585,0.3926990817,1.7500000000,0,-1
1586,0.3956079638,1.7555555556,0,-1
1587,0.3985168459,1.7611111111,0,-1
1588,0.4014257280,1.7666666667,0,-1
1589,0.4043346100,1.7722222222,0,-1
1590,0.4072434921,1.7777777778,0,-1
1591,0.4101523742,1.7833333333,0,-1
1592,0.4130612563,1.7888888889,0,-1
1593,0.4159701384,1.7944444444,0,-1
1594,0.4188790205,1.8000000000,0,-1
1595,0.4217879026,1.8055555556,0,-1
1596,0.4246967847,1.8111111111,0,-1
1597,0.4276056667,1.8166666667,0,-1
1598,0.4305145488,1.8222222222,0,-1
1599,0.4334234309,1.8277777778,0,-1
1600,0.4363323130,1.8333333333,0,-1
1601,0.4392411951,1.8388888889,0,-1
1602,0.4421500772,1.8444444444,0,-1
1603,0.4450589593,1.8500000000,0,-1
1604,0.4479678413,1.8555555556,0,-1
1605,0.4508767234,1.8611111111,0,-1
1606,0.4537856055,1.8666666667,0,-1
1607,0.4566944876,1.8722222222,0,-1
1608,0.4596033697,1.8777777778,0,-1
1609,0.4625122518,1.8833333333,0,-1
1610,0.4654211339,1.8888888889,0,-1
1611,0.4683300160,1.8944444444,0,-1
1612,0.4712388980,1.9000000000,0,-1
1613,0.4741477801,1.9055555556,0,-1
1614,0.4770566622,1.9111111111,0,-1
1615,0.4799655443,1.9166666667,0,-1
1616,0.4828744264,1.9222222222,0,-1
1617,0.4857833085,1.9277777778,0,-1
1618,0.4886921906,1.9333333333,0,-1
1619,0.4916010726,1.9388888889,0,-1
1620,0.4945099547,1.9444444444,0,-1
1621,0.4974188368,1.9500000000,0,-1
1622,0.5003277189,1.9555555556,0,-1
1623,0.5032366010,1.9611111111,0,-1
1624,0.5061454831,1.9666666667,0,-1
1625,0.5090543652,1.9722222222,0,-1
1626,0.5119632473,1.9777777778,0,-1
1627,0.5148721293,1.9833333333,0,-1
1628,0.5177810114,1.9888888889,0,-1
1629,0.5206898935,1.9944444444,0,-1
1630,0.5206898935,1.9944444444,1,1
1631,0.5206898935,1.9944444444,1,1
1632,0.5206898935,1.9944444444,1,1
1633,0.5206898935,1.9944444444,1,1
1634,0.5206898935,1.9944444444,1,1
1635,0.5206898935,1.9944444444,1,1
1636,0.5206898935,1.9944444444,1,1
1637,0.5206898935,1.9944444444,1,1
1638,0.5206898935,1.9944444444,1,1
1639,0.5206898935,1.9944444444,1,1
1640,0.5206898935,1.9944444444,1,1
1641,0.5206898935,1.9944444444,1,1
1642,0.5206898935,1.9944444444,1,1
1643,0.5206898935,1.9944444444,1,1
1644,0.5206898935,1.9944444444,1,1
1645,0.5206898935,1.9944444444,1,1
1646,0.5235987756,2.0000000000,0,-1
1647,0.5265076577,2.0055555556,0,-1
1648,0.5294165398,2.0111111111,0,-1
1649,0.5323254219,2.0166666667,0,-1
1650,0.5352343039,2.0222222222,0,-1
1651,0.5381431860,2.0277777778,0,-1
1652,0.5410520681,2.0333333333,0,-1
1653,0.5439609502,2.0388888889,0,-1
1654,0.5468698323,2.0444444444,0,-1
1655,0.5497787144,2.0500000000,0,-1
1656,0.5526875965,2.0555555556,0,-1
1657,0.5555964786,2.0611111111,0,-1
1658,0.5585053606,2.0666666667,0,-1
1659,0.5614142427,2.0722222222,0,-1
1660,0.5643231248,2.0777777778,0,-1
1661,0.5672320069,2.0833333333,0,-1
1662,0.5701408890,2.0888888889,0,-1
1663,0.5730497711,2.0944444444,0,-1
1664,0.5759586532,2.1000000000,0,-1
1665,0.5788675352,2.1055555556,0,-1
1666,0.5817764173,2.1111111111,0,-1
1667,0.5846852994,2.1166666667,0,-1
1668,0.5875941815,2.1222222222,0,-1
1669,0.5905030636,2.1277777778,0,-1
1670,0.5934119457,2.1333333333,0,-1
1671,0.5963208278,2.1388888889,0,-1
1672,0.5992297099,2.1444444444,0,-1
1673,0.6021385919,2.1500000000,0,-1
1674,0.6050474740,2.1555555556,0,-1
1675,0.6079563561,2.1611111111,0,-1
1676,0.6108652382,2.1666666667,0,-1
1677,0.6137741203,2.1722222222,0,-1
1678,0.6166830024,2.1777777778,0,-1
1679,0.6195918845,2.1833333333,0,-1
1680,0.6225007665,2.1888888889,0,-1
1681,0.6254096486,2.1944444444,0,-1
1682,0.6283185307,2.2000000000,0,-1
1683,0.6312274128,2.2055555556,0,-1
1684,0.6341362949,2.2111111111,0,-1
1685,0.6370451770,2.2166666667,0,-1
1686,0.6399540591,2.2222222222,0,-1
1687,0.6428629412,2.2277777778,0,-1
1688,0.6457718232,2.2333333333,0,-1
1689,0.6486807053,2.2388888889,0,-1
1690,0.6515895874,2.2444444444,0,-1
1691,0.6544984695,2.2500000000,0,-1
1692,0.6574073516,2.2555555556,0,-1
1693,0.6603162337,2.2611111111,0,-1
1694,0.6632251158,2.2666666667,0,-1
1695,0.6661339978,2.2722222222,0,-1
1696,0.6690428799,2.2777777778,0,-1
1697,0.6719517620,2.2833333333,0,-1
