,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
16,62019,25319,27674,28442,29717,30687,31152,32359,33207,33785,34298,35166,35820,36560,36859,38563,38744,39792,40437,41097,41483,41950,42052,43545,44614,45981,46402,47679,48980,49161,49872,50603,51888,52940,53662,55925,56022,56141,57398,57859,58982,60054,60793,62532,62730,63315,64575,65691,67002,67193,68286,69739,71219,72284,73877,74058,74628,76483,76687,77600
17,70309,25368,27911,28520,29826,30918,31249,32577,33327,33897,34480,35402,36076,36680,36933,38819,38904,39904,40504,41339,41653,42063,42244,43637,44852,46085,46492,47823,49247,49359,50019,50724,52142,53078,53745,56091,56260,56336,57547,58041,59210,60285,60923,62647,62980,63481,64663,65787,67260,67406,68442,69882,71464,72479,74123,74141,74757,76669,76772,77836
18,70299,25400,28129,28587,30037,31027,31288,32688,33532,33961,34569,35565,36167,36845,37162,38953,39091,39985,40724,41382,41697,42278,42385,43721,44924,46216,46549,47865,49357,49588,50124,50905,52211,53290,53873,56307,56374,56555,57779,58260,59269,60452,61135,62770,63070,63549,64876,65884,67457,67638,68570,70054,71602,72655,74215,74316,74882,76776,76996,77878
19,70289,25462,28256,28678,30111,31130,31403,32900,33771,34191,34811,35635,36279,37005,37390,39166,39329,40120,40911,41526,41820,42437,42523,43852,45149,46317,46678,48006,49519,49842,50265,51023,52301,53519,54061,56558,56613,56665,58005,58325,59379,60516,61361,62932,63212,63698,65106,65958,67715,67789,68655,70197,71807,72890,74381,74451,74970,77046,77141,78092
20,70279,25543,28493,28897,30230,31286,31575,33092,33943,34275,35071,35801,36490,37305,37691,39304,39493,40324,41191,41811,41971,42611,42773,43994,45283,46580,46794,48121,49726,50145,50536,51116,52604,53608,54205,56716,56778,56948,58167,58585,59505,60635,61536,63076,63509,63800,65233,66098,67918,68092,68744,70457,71962,73064,74491,74614,75236,77209,77334,78260
21,70269,25590,28678,29127,30294,31516,31763,33152,34128,34505,35149,35902,36599,37530,37805,39390,39731,40496,41400,41886,42117,42731,42913,44190,45445,46780,46896,48306,49888,50298,50642,51305,52854,53673,54344,56848,56997,57132,58398,58747,59672,60793,61588,63327,63606,64039,65312,66294,68091,68224,68836,70585,72207,73166,74590,74840,75323,77416,77435,78396
22,71161,25652,28784,29285,30351,31628,31976,33253,34368,34573,35391,36123,36690,37649,38058,39599,39968,40654,41616,41955,42321,42950,43181,44429,45683,46875,47122,48358,50033,50394,50859,51381,52974,53902,54440,57025,57206,57338,58504,58985,59900,60871,61774,63422,63737,64152,65373,66444,68272,68384,68952,70743,72285,73269,74801,75027,75555,77513,77595,78632
23,71151,25701,29021,29336,30531,31859,32054,33430,34434,34710,35573,36252,36900,37737,38311,39730,40090,40838,41761,42198,42397,43139,43441,44503,45921,46998,47274,48539,50300,50548,50988,51441,53103,53973,54611,57276,57426,57579,58604,59223,60127,60961,61825,63674,63844,64267,65553,66524,68462,68643,69034,70900,72385,73362,74967,75253,75697,77684,77713,78868
24,71141,25758,29225,29454,30749,32091,32291,33555,34538,34940,35815,36490,37028,37846,38489,39917,40203,41008,41826,42307,42586,43372,43557,44751,46084,47167,47500,48766,50432,50742,51098,51520,53180,54159,54873,57496,57652,57719,58729,59358,60213,61055,62053,63811,64094,64390,65782,66686,68720,68870,69112,71074,72583,73449,75051,75311,75929,77800,77976,78941
25,71121,25805,29399,29555,30873,32291,32373,33736,34732,35170,35927,36573,37263,38098,38607,40055,40362,41209,41922,42399,42747,43450,43778,44962,46322,47364,47598,48922,50524,50870,51219,51685,53434,54266,55026,57640,57792,57973,58811,59481,60386,61292,62186,63900,64209,64453,66012,66752,68947,69048,69286,71163,72718,73555,75138,75438,76149,78031,78239,79177
