,stw,sto,sth
0,491.56545961002786,0.0,0.0
1,506.8891820580475,13.101062272791653,[31.879665]
2,472.8158508158508,12.131543561198322,[33.73971]
3,496.02318392581145,10.415456944316025,[34.88023]
4,558.4631578947368,10.625724760755741,[37.17248]
5,536.8333333333334,11.07585779247623,[39.080593]
6,550.8731707317073,10.947135322755138,[39.838615]
7,731.0291005291006,11.920827459594136,[39.759563]
8,626.7635829662262,12.787942989214175,[39.37023]
9,629.9366197183099,12.41071130148734,[39.11359]
10,657.5727272727273,12.380875997730444,[39.515594]
11,643.8689655172413,12.670092507433198,[39.228508]
12,540.9203539823009,13.303877900185633,[38.941406]
13,602.0413223140496,12.22507184657555,[38.627884]
14,548.7214285714285,11.896392175521562,[38.63327]
15,637.463768115942,12.442018911270841,[38.210438]
16,644.8837209302326,13.084480086590734,[38.118916]
17,637.9444444444445,13.270271447867193,[38.115044]
18,728.9721254355401,13.708457077863057,[37.845463]
19,719.9818181818182,14.808611142290566,[37.829422]
20,655.9367088607595,14.888905582421712,[37.850872]
21,745.2293577981651,14.855154893262045,[37.739296]
22,846.3204419889503,14.804796368304526,[37.682907]
23,697.8991596638656,15.458709274631767,[37.596775]
24,910.5081967213115,15.960557664260026,[37.584778]
25,0.0,16.3780964797914,[37.578793]
26,654.9627329192547,16.3780964797914,[37.521423]
27,694.5988700564972,15.89839958796596,[37.42013]
28,704.1322957198444,15.054394734096535,[37.222282]
29,682.091796875,14.689476655330516,[36.713684]
30,807.1242603550296,15.448291911829282,[36.645138]
31,879.0468164794007,16.261240387583083,[35.942276]
32,889.530612244898,17.66805483474893,[35.98643]
33,887.5728155339806,17.60804755933957,[36.17073]
34,752.8938848920864,18.148066737288136,[36.170986]
35,834.8695652173913,18.757738385160895,[36.616646]
36,939.76,19.928275184792234,[36.776363]
37,947.8461538461538,20.04037886340977,[36.760746]
38,986.0,20.039459208581153,[37.071026]
39,1010.2213740458016,20.24042402706411,[37.223846]
40,0.0,21.02265629486313,[37.83125]
41,1138.1434599156119,21.037605240197884,[41.22694]
42,1173.872013651877,24.572055495084577,[41.14841]
43,821.3333333333334,25.906926264840898,[41.52114]
44,0.0,25.581908449355712,[42.183342]
45,0.0,25.581908449355712,[57.962994]
0,492.88597376387486,0.0,0.0
1,535.5725388601036,12.852793788161247,[60.344383]
2,477.20479302832246,12.351368418031255,[63.409325]
3,469.41503267973854,10.620073669568802,[65.66729]
4,511.0759493670886,10.685759710046641,[68.228966]
5,569.0930232558139,10.889498118286951,[70.280205]
6,522.9473684210526,10.67521186440678,[70.474686]
7,610.7262569832402,11.39014798504788,[69.9006]
8,616.123670212766,12.24318809613182,[69.48046]
9,622.8548387096774,12.942826187125616,[68.80837]
10,699.8248704663213,13.375042871385844,[68.36359]
11,540.5165562913908,15.164532445713615,[67.92376]
12,631.7335243553009,15.705274061902804,[67.127556]
13,642.0072463768116,15.148658009417172,[66.652466]
14,599.3012048192771,14.894981284102416,[66.466675]
15,619.223880597015,15.44033537684818,[66.19393]
16,628.1071428571429,15.721837150953954,[65.97814]
17,580.3516483516484,15.848361403836822,[65.85732]
18,723.3171521035599,16.057042911908244,[65.88281]
19,562.0196078431372,17.54437529463154,[66.00572]
20,656.546511627907,17.49985893791098,[65.79449]
21,841.5826086956522,17.71823897165204,[66.18659]
22,727.027027027027,18.10317624362684,[66.07858]
23,682.3660714285714,18.40447190953614,[66.21408]
24,837.7428571428571,18.5728644911038,[66.07052]
25,0.0,18.785692262857573,[66.53229]
26,836.8509316770186,18.785692262857573,[66.485405]
27,694.2629107981221,18.695375233822958,[66.40144]
28,823.0,18.15721016424682,[66.363464]
29,819.9310954063604,17.940908264983165,[66.224815]
30,803.9816513761468,17.426965658842953,[66.72561]
31,853.4947916666666,18.052388289676426,[66.50813]
32,912.6666666666666,17.31220377991457,[66.526665]
33,979.9803921568628,16.895763537042235,[66.493866]
34,903.4692307692308,17.40576567961485,[66.171616]
35,973.7763157894736,18.37137759653371,[66.1097]
36,944.1111111111111,18.762598786294934,[66.51202]
37,1058.1787709497207,18.691120917326916,[66.92727]
38,1106.1805555555557,18.90074846221709,[66.4856]
39,944.5402985074627,18.688042236064835,[66.74589]
40,0.0,18.632303814071694,[67.87392]
41,1211.931754874652,18.515677348721198,[68.263954]
42,1131.8018292682927,20.65405334384444,[69.317345]
43,1221.61,20.780145278450362,[71.92977]
44,0.0,21.314682143433348,[72.52748]
45,0.0,21.314682143433348,[93.15978]
0,504.7883597883598,0.0,0.0
1,493.6387665198238,4.702313693839118,[74.021736]
2,486.7971014492754,4.209357597626771,[77.387596]
3,510.35,3.7901255435868286,[79.967224]
4,515.9491525423729,4.332488634771868,[82.73064]
5,476.989898989899,4.7213727699298005,[84.02825]
6,531.2348484848485,4.9982004022630235,[84.10136]
7,531.3157894736842,5.451451673812116,[83.42746]
8,520.882911392405,5.710481847508834,[83.101425]
9,494.3911111111111,6.03217739694718,[82.48077]
10,553.3813131313132,6.300118210346382,[81.638336]
11,524.3370786516854,5.947656492309938,[80.82368]
12,529.8611111111111,6.315428446993067,[80.19832]
13,499.93333333333334,6.334661636824117,[79.34804]
14,578.3465346534654,6.083978590544158,[79.61212]
15,590.8478260869565,6.309764669246853,[79.18633]
16,604.0588235294117,6.624956987444746,[78.97895]
17,765.6666666666666,7.095276095970022,[78.91181]
18,634.0424242424242,7.438687003341355,[78.93233]
19,554.2424242424242,7.894992601560398,[78.97429]
20,760.5555555555555,7.94566822181539,[78.705025]
21,640.8205128205128,8.1713643599588,[79.07003]
22,662.5700934579439,8.269826528243062,[79.33369]
23,754.2388059701492,8.948153124001603,[79.435455]
24,522.8787878787879,9.379830912988957,[79.53372]
25,0.0,9.578736665663117,[79.83852]
26,692.7766990291262,9.578736665663117,[79.906815]
27,610.7037037037037,9.771345705711749,[79.81162]
28,807.5727272727273,10.238087309779894,[79.79405]
29,688.3930131004366,10.545599723413538,[79.37965]
30,710.8373493975904,11.269801173402866,[79.52777]
31,711.4065040650406,11.678701600117682,[79.646]
32,809.4,13.384089666484416,[79.202354]
33,640.68,12.734654888203222,[78.63155]
34,705.8691983122363,13.625518873087644,[78.7083]
35,803.1684210526316,14.435543446938931,[78.94542]
36,1033.0,14.748677365506401,[78.91552]
37,751.2077922077922,14.791030853441756,[79.52896]
38,786.5813953488372,15.293767926988265,[79.51761]
39,858.9913793103449,15.79681613387685,[80.22467]
40,0.0,15.55411842881075,[81.55516]
41,803.7235772357724,15.413076676533253,[84.78515]
42,882.2705314009662,17.501100658420775,[86.243065]
43,854.3333333333334,18.768609531905845,[88.00861]
44,0.0,18.12462822947648,[90.902916]
45,0.0,18.12462822947648,[108.997955]
0,493.38655462184875,0.0,0.0
1,502.3013392857143,14.971292471790976,[74.756676]
2,476.76356589147287,13.055089670932956,[77.91518]
3,475.5936675461741,11.250257713422673,[80.617134]
4,469.7959183673469,11.032048397580123,[82.742805]
5,566.4593023255813,11.291156429116135,[83.40085]
6,531.0341463414634,11.470483776008884,[83.25776]
7,681.367758186398,11.70693500892671,[82.54033]
8,632.4874371859296,12.20447715104622,[82.17287]
9,699.0379241516966,12.509699542905969,[81.32792]
10,640.0289421157685,12.72331011281151,[80.495804]
11,611.5655172413793,13.19983821837991,[79.976395]
12,674.2038834951456,13.335371212089361,[78.90278]
13,645.55,13.267266115040703,[77.97371]
14,710.5408805031446,13.233125938639775,[77.96703]
15,825.4027777777778,14.063420663030234,[77.14269]
16,1050.0405405405406,14.323171981354623,[77.37566]
17,753.9285714285714,14.485138160226104,[77.19266]
18,906.6019417475728,14.999446789418428,[77.22698]
19,768.7671232876712,16.760862329739595,[77.29721]
20,795.40625,17.38516591309034,[76.98049]
21,895.1889763779527,17.750700920726075,[77.2356]
22,978.9023255813953,18.301555402386665,[77.422104]
23,1047.2131147540983,19.05059208764957,[77.31192]
24,787.8541666666666,19.36055840168107,[77.58621]
25,0.0,19.398759698772334,[77.74965]
26,765.895061728395,19.398759698772334,[77.79529]
27,919.1961722488038,19.345791396343575,[77.57296]
28,904.5853658536586,19.715433310042716,[77.54309]
29,895.726688102894,18.663935880275446,[77.38586]
30,911.3044619422573,16.93025022735732,[77.476715]
31,984.4231354642313,17.646763908453373,[76.881355]
32,773.3947368421053,19.698870656892236,[76.962875]
33,863.28,19.40736515659174,[77.27248]
34,933.1061285500747,19.441811459696314,[76.494514]
35,1141.0723981900453,20.146964219307698,[76.33574]
36,1570.4411764705883,20.241653081371823,[75.49386]
37,1180.0052631578947,20.339857262361427,[76.49607]
38,1686.5072463768115,20.506100004043386,[77.05971]
39,911.0331325301205,20.267707270303934,[77.63395]
40,0.0,20.012660812742496,[79.5498]
41,1373.7355584082156,20.00496399982112,[79.17887]
42,1185.410635155096,22.339996818102772,[81.07835]
43,1372.3362068965516,23.488772678443546,[82.348175]
44,0.0,23.523454368578815,[84.52008]
45,0.0,23.523454368578815,[113.83955]
0,497.49455234486027,0.0,0.0
1,484.2193396226415,14.210391091056534,[64.25521]
2,475.4835886214442,12.746460263057287,[67.11776]
3,477.50584795321635,9.828851883445216,[69.17742]
4,534.3068181818181,9.873540110544797,[71.198555]
5,543.9396984924623,10.37173348776124,[71.609695]
6,532.31,10.633322484540468,[71.697]
7,557.8721804511279,11.273334924803057,[70.86751]
8,595.1606280193237,11.669218445629811,[70.54691]
9,521.741550695825,11.949308611917472,[69.773964]
10,562.9024390243902,12.476620502970878,[69.50997]
11,505.696,12.002396936016313,[69.126915]
12,525.5014492753623,12.351676775264737,[68.17968]
13,513.9772727272727,12.15512669911059,[67.27975]
14,514.1602209944751,12.440669399433745,[67.50236]
15,621.1506849315068,12.970212431705908,[66.86474]
16,612.0487804878048,13.275508692431705,[67.53957]
17,550.5432098765432,13.39880054802547,[67.58347]
18,725.2215384615384,13.297452620305021,[67.7368]
19,702.6470588235294,14.775253652978515,[67.702965]
20,526.2738095238095,15.214061828304791,[67.34292]
