,stw,sto,sth
0,492.38740920096853,0.0,0.0
1,474.24183006535947,8.81678773204197,[10.42561]
2,471.5558912386707,7.688623939990542,[11.692353]
3,477.03516483516484,6.8109835227496145,[12.858209]
4,467.54117647058825,7.097323861344572,[13.898543]
5,486.3076923076923,7.458026486046104,[15.31447]
6,480.33986928104576,7.54559908616591,[16.086296]
7,516.5019011406844,7.369360804527696,[16.5904]
8,512.966796875,8.005145278450362,[16.81124]
9,527.8327645051195,8.726580133768563,[17.12851]
10,532.8307926829268,8.880736470790675,[17.177822]
11,512.7669902912621,8.922899604925307,[17.114231]
12,511.2173913043478,9.040138703858338,[17.139341]
13,519.4891304347826,8.56131858140692,[17.152758]
14,569.4957264957264,8.541124394673124,[17.114054]
15,556.7358490566038,8.402731337356036,[17.135414]
16,523.8219178082192,8.506103352222382,[17.074003]
17,605.936507936508,8.820158659595647,[16.937614]
18,562.5314009661836,9.131425189513184,[16.91422]
19,602.4615384615385,9.34021494414001,[16.912758]
20,542.8333333333334,9.266999288974239,[16.807257]
21,562.6195652173913,9.304396954065338,[16.794205]
22,538.1558441558442,9.85249656436097,[16.647379]
23,631.2688172043011,10.44509069283378,[16.647404]
24,694.0952380952381,10.924215588528531,[16.65598]
25,0.0,11.343996512374591,[16.677223]
26,563.5238095238095,11.343996512374591,[16.68615]
27,571.1488095238095,11.225542777893692,[16.592697]
28,594.969696969697,11.56152857593172,[16.606833]
29,645.7564102564103,11.802632590883544,[16.5999]
30,648.4743083003953,12.680182573277808,[16.597933]
31,685.2369077306734,13.982512869010746,[16.409813]
32,658.1111111111111,16.825555121854677,[16.747427]
33,680.5205479452055,16.51628662618535,[16.881657]
34,643.1361386138614,17.00402114437243,[17.073263]
35,676.8802816901408,17.254835079822772,[17.40585]
36,748.421052631579,17.8603291404735,[17.55276]
37,716.7333333333333,17.93270619325191,[17.468246]
38,615.4047619047619,18.770107858243453,[17.399967]
39,685.0502512562814,18.932061816555013,[17.442621]
40,0.0,20.26470883208363,[17.86884]
41,796.0492424242424,20.236019024801035,[18.29264]
42,697.7258566978193,26.139011437425335,[18.043583]
43,882.9642857142857,27.128452143569298,[18.476488]
44,0.0,25.619472102390052,[18.401463]
45,0.0,25.619472102390052,[21.96683]
