,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
16,62019,25962,27146,28109,29081,29214,30529,31740,31830,33298,33313,34450,34462,34854,35634,37240,37336,38493,39236,39572,40659,40900,41627,42486,43742,44828,45240,46581,47424,47832,48638,49736,50952,51890,53417,54255,54770,55110,55300,57260,58128,59454,59824,60466,61820,62517,63970,64432,65198,66519,67811,69084,70007,70479,71989,72515,73684,74588,75202,76312
17,70309,26038,27236,28207,29175,29280,30614,31833,31904,33401,33416,34537,34549,34925,35710,37339,37402,38564,39296,39657,40733,40978,41718,42568,43829,44923,45308,46659,47516,47926,48707,49818,51052,51973,53528,54327,54846,55206,55370,57328,58203,59549,59896,60533,61907,62598,64070,64505,65269,66599,67913,69182,70103,70551,72056,72587,73750,74661,75269,76377
18,70299,26089,27302,28277,29240,29332,30681,31898,31960,33474,33494,34599,34599,34978,35768,37410,37453,38618,39341,39720,40787,41035,41784,42628,43894,44990,45361,46718,47582,47995,48760,49880,51124,52035,53608,54380,54901,55266,55425,57382,58260,59620,59949,60585,61972,62658,64142,64560,65322,66661,67987,69252,70170,70607,72107,72642,73802,74716,75322,76425
19,70289,26171,27396,28395,29333,29399,30765,31991,32034,33581,33596,34686,34698,35049,35844,37509,37518,38689,39402,39804,40861,41113,41875,42710,43981,45086,45428,46796,47676,48089,48832,49964,51224,52118,53719,54452,54977,55354,55496,57450,58335,59716,60020,60651,62060,62739,64243,64633,65392,66753,68099,69350,70265,70678,72182,72713,73868,74789,75388,76490
20,70279,26299,27535,28546,29481,29496,30892,32136,32144,33743,33758,34824,34824,35156,35956,37661,37680,38796,39495,39934,40975,41234,42015,42834,44115,45233,45528,46914,47821,48234,48936,50089,51377,52244,53889,54562,55096,55502,55598,57549,58446,59865,60127,60749,62191,62863,64402,64743,65493,66872,68254,69501,70413,70782,72280,72816,73965,74898,75485,76588
21,70269,26377,27626,28644,29567,29571,30977,32229,32230,33846,33857,34911,34923,35228,36034,37760,37783,38868,39556,40018,41049,41313,42106,42916,44215,45347,45596,46992,47913,48327,49005,50172,51477,52327,54000,54635,55173,55590,55668,57617,58522,59961,60198,60815,62279,62945,64501,64815,65563,66954,68356,69599,70508,70854,72347,72887,74031,74972,75551,76653
22,71161,26465,27717,28742,29652,29663,31061,32321,32335,33948,33963,34998,34998,35299,36111,37859,37885,38939,39618,40103,41123,41391,42197,42997,44303,45440,45664,47071,48005,48420,49074,50255,51577,52411,54111,54707,55251,55676,55739,57693,58597,60058,60269,60882,62367,63027,64601,64888,65634,67035,68458,69697,70603,70925,72414,72957,74097,75045,75617,76718
23,71151,26547,27808,28839,29744,29744,31146,32413,32439,34051,34066,35083,35088,35371,36188,37957,37987,39011,39679,40188,41202,41470,42293,43085,44396,45533,45732,47149,48098,48513,49144,50339,51676,52495,54222,54779,55328,55764,55809,57767,58673,60156,60339,60949,62455,63109,64701,64960,65704,67117,68559,69794,70696,70995,72481,73028,74164,75118,75684,76783
24,71141,26635,27899,28937,29830,29835,31230,32507,32543,34153,34168,35163,35167,35443,36265,38056,38089,39082,39741,40273,41276,41548,42384,43167,44493,45626,45801,47227,48190,48605,49213,50423,51776,52579,54333,54851,55405,55850,55880,57835,58749,60251,60410,61016,62555,63191,64801,65033,65773,67199,68661,69892,70790,71066,72547,73098,74230,75191,75750,76848
25,71121,26714,27990,29034,29916,29916,31315,32600,32648,34256,34256,35242,35244,35515,36342,38154,38191,39153,39804,40359,41350,41627,42475,43249,44582,45718,45870,47306,48282,48697,49283,50507,51875,52664,54444,54923,55483,55939,55950,57904,58825,60346,60481,61083,62642,63273,64901,65105,65842,67281,68762,69989,70883,71137,72613,73169,74298,75264,75817,76913
26,71131,26790,28081,29132,29998,30017,31399,32694,32752,34358,34375,35319,35330,35587,36419,38253,38294,39223,39866,40445,41424,41705,42566,43331,44671,45811,45939,47384,48374,48789,49352,50591,51975,52748,54555,54995,55560,56024,56030,57972,58901,60441,60551,61149,62729,63355,65000,65177,65912,67363,68865,70087,70977,71208,72679,73239,74364,75337,75883,76978
27,71091,26945,28244,29310,30171,30197,31548,32867,32941,34551,34574,35481,35497,35714,36552,38432,38478,39347,39976,40597,41560,41849,42731,43476,44829,45983,46055,47526,48545,48959,49472,50738,52155,52896,54755,55125,55701,56197,56208,58086,59033,60616,60678,61262,62894,63500,65192,65306,66029,67504,69048,70267,71150,71326,72792,73360,74476,75465,75995,77093
