,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD
0,0,,,,,,47.49487179487179,,401.1268417680974,1273.9514500537057,912.0146079484425,4.629226726661505
0,1,,,,,,48.283493589743586,,338.55198944823036,1270.7071982281284,840.1851605758583,5.421808767859219
0,8,,,,,,48.37083333333333,,332.64701927386824,1285.2160466158673,854.9043030031376,5.220683323259051
0,5,,,,,,46.957585470085476,,448.33800086169754,1288.2279190004308,977.6288237828522,4.79035813221136
0,0,,,,,,48.2508547008547,,293.71860782529575,1299.5181983621474,820.4078707916287,4.23423959140664
0,4,,,,,,47.78808760683761,,450.02601834079763,1281.8899552143314,975.5606739176797,5.200260023529383
0,4,,,,,,48.18552350427351,,353.06395604395607,1343.368258178603,872.5101679929267,5.495004218443358
0,0,,,,,,46.97500000000001,,484.68503937007875,1255.6128963609278,1015.8206001276867,4.876020036165491
0,0,,,,,,48.25977564102564,,323.31988211289956,1287.4239673172947,848.0324557421698,4.679376389400342
0,9,,,,,,46.579166666666666,,492.27147046501887,1272.1022942538414,1002.093664491686,5.341864802401669
0,0,,,,,,47.96073717948718,,371.9534282018111,1288.9077188443296,897.5388098318241,4.681942882898456
0,4,,,,,,46.34561965811966,,452.4360199418363,1249.0945749324464,974.4797339430472,4.0006523313679505
0,7,,,,,,47.44145299145299,,456.92450021267547,1299.2007656316462,989.2854104636325,4.6986894948453095
0,1,,,,,,47.18055555555556,,447.4274378784715,1258.2121465968587,971.496335078534,4.516622950223444
0,0,,,,,,48.10854700854701,,387.0653950953678,1297.0760672116257,929.902361489555,4.906306812071832
0,0,,,,,,46.86800213675213,,492.4142394822006,1265.8502750050927,1014.3104501935221,3.852904597351735
0,0,,,,,,48.934348290598294,,303.6905411550705,1273.1641655297863,829.6180081855389,5.442313876789299
0,14,,,,,,48.28002136752137,,343.6829268292683,1307.5185776156827,870.0647367221336,5.763434356148933
0,4,,,,,,48.850320512820524,,350.56199075093593,1321.7799244947812,870.641794359316,5.12842539463161
0,0,,,,,,47.20010683760683,,418.2647058823529,1272.9345694799658,936.2809036658142,4.829999635925744
