,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,0,363,735,1075,1427,1800,2162,2501,2885,3260,3615,3980,4319,4688,5050,5382,5768,6104,6469,6844,7210,7578,7905,8295
1,2,70,412,793,1131,1471,1844,2209,2555,2931,3311,3662,4032,4374,4747,5097,5427,5821,6153,6510,6885,7252,7636,7952,8353
2,3,191,511,902,1236,1553,1940,2308,2647,3012,3398,3754,4129,4483,4860,5191,5519,5927,6243,6586,6975,7328,7719,8039,8471
3,4,287,765,1169,1500,1795,2187,2558,2903,3256,3650,4004,4387,4745,5128,5436,5766,6186,6492,6828,7216,7570,7967,8286,8738
4,5,473,996,1409,1738,2017,2412,2785,3136,3480,3879,4232,4621,4982,5369,5661,5993,6421,6719,7050,7439,7794,8194,8511,8978
5,6,643,1251,1678,2004,2261,2660,3037,3394,3726,4132,4485,4880,5245,5639,5908,6242,6683,6970,7294,7681,8036,8444,8759,9247
6,7,808,1488,1925,2249,2487,2891,3270,3632,3954,4367,4717,5120,5489,5887,6137,6474,6922,7202,7520,7908,8266,8676,8990,9494
7,8,885,1654,2089,2413,2658,3059,3437,3798,4124,4534,4886,5285,5654,6050,6307,6642,7090,7371,7691,8077,8432,8844,9158,9658
8,9,1020,1922,2373,2693,2912,3318,3701,4069,4380,4800,5150,5558,5932,6336,6564,6902,7365,7633,7945,8330,8687,9106,9417,9942
9,10,1115,2077,2523,2844,3070,3475,3855,4223,4538,4954,5305,5711,6083,6484,6722,7059,7517,7789,8103,8489,8845,9261,9574,10092
10,11,1324,2424,2901,3215,3390,3806,4193,4575,4863,5297,5645,6067,6449,6864,7050,7393,7877,8125,8423,8808,9166,9596,9905,10470
11,12,1424,2501,2980,3298,3484,3867,4257,4651,4954,5362,5715,6144,6530,6950,7139,7458,7950,8189,8517,8903,9259,9658,9966,10549
12,13,1499,2734,3223,3539,3709,4095,4488,4886,5181,5595,5946,6381,6770,7195,7367,7687,8188,8419,8742,9128,9485,9887,10194,10792
13,14,1618,2949,3444,3758,3917,4306,4699,5102,5390,5806,6159,6596,6988,7414,7576,7898,8404,8631,8950,9335,9693,10099,10405,11013
14,15,1737,3149,3648,3962,4116,4505,4900,5303,5589,6009,6358,6800,7191,7621,7776,8098,8608,8830,9149,9534,9892,10299,10604,11217
15,16,1931,3399,3911,4221,4352,4747,5144,5555,5828,6254,6605,7051,7449,7882,8016,8341,8861,9075,9385,9770,10129,10542,10846,11480
16,17,2058,3579,4089,4400,4534,4927,5325,5734,6009,6436,6784,7232,7628,8064,8199,8521,9042,9255,9567,9951,10310,10723,11026,11658
17,18,2194,3821,4342,4651,4764,5163,5563,5978,6242,6674,7023,7477,7877,8316,8430,8758,9288,9493,9797,10182,10542,10959,11262,11911
18,19,2279,3996,4644,4826,4942,5338,5739,6153,6419,6852,7198,7652,8052,8493,8608,8933,9464,9668,9975,10359,10718,11136,11437,12086
19,20,2422,4276,4820,5119,5206,5608,6013,6436,6685,7128,7473,7938,8343,8792,8874,9205,9751,9942,10239,10622,10982,11408,11707,12384
20,21,2540,4452,5113,5295,5476,5784,6189,6612,6862,7305,7650,8112,8519,8967,9050,9380,9928,10117,10415,10798,11159,11585,11883,12559
21,22,2697,4748,5317,5608,5680,6068,6478,6912,7143,7598,7940,8415,8828,9286,9330,9667,10232,10405,10692,11074,11437,11872,12167,12876
22,23,2779,4871,5544,5723,5897,6198,6606,7138,7369,7723,8067,8535,8945,9398,9461,9794,10353,10533,10825,11208,11570,12001,12297,12998
23,24,2899,5132,5771,5994,6112,6450,6861,7355,7572,7981,8323,8799,9215,9674,9710,10048,10619,10788,11073,11455,11818,12255,12549,13272
24,25,3035,5323,6013,6188,6339,6641,7053,7593,7809,8172,8515,8992,9431,9868,10035,10238,10812,10980,11262,11644,12007,12446,12740,13467
25,26,3101,5531,6177,6399,6507,6845,7258,7755,7966,8379,8720,9200,9619,10081,10269,10444,11022,11181,11465,11848,12211,12651,12944,13678
26,27,3174,5720,6402,6590,6720,7035,7448,7974,8179,8569,8911,9392,9833,10273,10442,10633,11212,11371,11668,12035,12399,12841,13134,13872
27,28,3250,5931,6583,6805,6903,7241,7656,8156,8360,8777,9117,9602,10023,10488,10670,10840,11425,11575,11858,12241,12605,13047,13340,14084
