,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,0,363,735,1075,1427,1800,2162,2501,2885,3260,3615,3980,4319,4688,5050,5382,5768,6104,6469,6844,7210,7578,7905,8295
1,2,57,416,790,1119,1472,1847,2209,2546,2940,3312,3664,4035,4370,4742,5108,5437,5830,6165,6516,6888,7263,7632,7952,8356
2,3,167,516,906,1204,1562,1934,2296,2629,3039,3408,3750,4131,4480,4848,5212,5535,5940,6268,6603,6966,7358,7741,8045,8471
3,4,234,597,987,1266,1628,2007,2366,2692,3116,3485,3823,4208,4556,4934,5296,5619,6028,6353,6673,7027,7439,7824,8115,8564
4,5,372,752,1133,1373,1742,2133,2501,2804,3255,3622,3955,4345,4685,5079,5436,5765,6186,6495,6790,7137,7599,7984,8238,8720
5,6,500,924,1285,1521,1893,2294,2662,2954,3430,3787,4122,4474,4858,5248,5579,5947,6343,6644,6951,7285,7767,8126,8399,8887
6,7,623,1068,1436,1692,2066,2458,2793,3144,3567,3919,4295,4647,5030,5395,5727,6127,6504,6793,7122,7465,7911,8270,8590,9052
7,8,699,1149,1496,1762,2143,2513,2845,3238,3644,3965,4341,4699,5077,5454,5778,6181,6561,6848,7174,7567,7995,8323,8687,9111
8,9,806,1250,1595,1851,2234,2609,2941,3347,3745,4062,4440,4802,5183,5562,5893,6290,6691,6958,7264,7681,8116,8431,8810,9231
9,10,867,1320,1672,1935,2326,2703,2999,3446,3813,4162,4508,4899,5285,5633,5993,6361,6771,7029,7325,7780,8184,8501,8906,9308
10,11,1021,1503,1857,2113,2508,2864,3195,3589,3991,4367,4711,5102,5457,5817,6211,6578,6971,7221,7521,7952,8364,8687,9096,9515
11,12,1101,1605,1931,2218,2601,2956,3312,3700,4061,4435,4809,5170,5558,5893,6285,6684,7054,7302,7638,8060,8445,8792,9197,9606
12,13,1156,1684,1993,2295,2650,3010,3406,3790,4123,4491,4869,5226,5619,5961,6353,6746,7122,7368,7737,8153,8511,8883,9285,9681
13,14,1251,1780,2093,2404,2771,3098,3530,3867,4251,4585,4988,5360,5716,6089,6452,6842,7226,7466,7863,8258,8623,9009,9369,9788
14,15,1332,1867,2169,2489,2837,3165,3618,3952,4345,4682,5078,5439,5785,6182,6548,6935,7310,7542,7947,8322,8697,9096,9459,9880
15,16,1475,2000,2308,2603,2953,3271,3736,4049,4478,4796,5209,5553,5896,6314,6690,7068,7433,7661,8065,8421,8820,9231,9586,10032
16,17,1571,2086,2396,2670,3016,3376,3840,4120,4562,4881,5299,5632,5988,6407,6793,7159,7525,7750,8145,8487,8926,9315,9660,10132
17,18,1682,2189,2482,2740,3093,3477,3935,4197,4663,4961,5378,5727,6067,6501,6885,7248,7638,7828,8243,8576,9025,9400,9754,10232
18,19,1809,2293,2572,2820,3190,3573,4058,4285,4768,5054,5495,5811,6150,6624,6975,7359,7740,7924,8339,8678,9125,9511,9838,10353
19,20,1931,2481,2697,2919,3294,3706,4212,4412,4914,5172,5615,5935,6262,6766,7124,7487,7877,8062,8484,8791,9265,9656,9964,10532
20,21,2030,2681,2820,3038,3400,3838,4329,4545,5035,5306,5737,6052,6404,6909,7268,7622,8027,8173,8587,8903,9385,9778,10101,10671
21,22,2149,2835,3083,3177,3533,3992,4492,4685,5203,5455,5905,6198,6558,7092,7411,7798,8205,8335,8747,9042,9550,9967,10255,10888
22,23,2227,2915,3218,3296,3636,4108,4561,4799,5338,5565,5994,6272,6679,7208,7501,7900,8303,8434,8849,9151,9635,10062,10371,11024
23,24,2313,3022,3334,3394,3754,4243,4653,4927,5458,5682,6095,6365,6812,7323,7611,8001,8426,8561,8951,9279,9751,10171,10507,11162
24,25,2409,3151,3444,3579,3881,4379,4770,5056,5616,5805,6204,6478,6954,7438,7757,8129,8566,8669,9059,9406,9903,10310,10655,11289
25,26,2490,3221,3508,3629,4028,4465,4825,5139,5693,5886,6282,6541,7043,7501,7851,8196,8649,8746,9141,9488,9977,10403,10747,11382
26,27,2558,3288,3588,3685,4103,4533,4884,5213,5759,5947,6352,6602,7127,7575,7922,8288,8707,8794,9206,9559,10047,10495,10850,11440
27,28,2603,3358,3641,3736,4152,4583,4942,5271,5819,5995,6406,6653,7183,7637,7977,8347,8765,8842,9262,9607,10105,10548,10933,11502
28,29,2671,3430,3703,3798,4211,4640,5008,5359,5890,6055,6473,6730,7260,7713,8044,8420,8837,8905,9321,9677,10170,10621,11024,11575
29,30,2745,3509,3788,3857,4276,4709,5080,5447,5956,6121,6542,6827,7348,7792,8132,8487,8921,8974,9386,9759,10246,10704,11118,11660
30,31,2835,3616,3889,3943,4362,4801,5178,5547,6062,6206,6631,6914,7451,7887,8225,8586,9027,9068,9467,9842,10340,10806,11237,11767
31,32,2956,3760,4026,4049,4487,4922,5296,5695,6186,6327,6751,7064,7599,8020,8367,8719,9166,9199,9596,9983,10480,10957,11383,11921
32,33,3036,3851,4099,4150,4589,4990,5365,5797,6260,6431,6830,7174,7690,8094,8440,8816,9257,9301,9665,10084,10582,11036,11490,12021
33,34,3144,3964,4225,4275,4715,5111,5469,5932,6384,6569,6948,7318,7821,8223,8555,8952,9392,9439,9774,10216,10723,11154,11629,12163
34,35,3433,4287,4543,4543,4986,5402,5763,6213,6685,6871,7229,7641,8130,8534,8860,9282,9724,9740,10067,10494,11049,11487,11935,12517
35,36,3456,4305,4571,4626,5044,5447,5839,6292,6715,6919,7283,7721,8182,8559,8911,9338,9743,9750,10133,10577,11106,11545,12018,12538
36,37,3539,4414,4651,4732,5132,5511,5944,6388,6798,6979,7346,7828,8259,8636,8985,9426,9829,9830,10238,10678,11192,11654,12124,12625
37,38,3652,4529,4759,4844,5236,5621,6054,6491,6910,7067,7460,7943,8361,8756,9108,9536,9959,9960,10348,10800,11312,11776,12250,12751
38,39,3777,4684,4899,4953,5361,5736,6182,6610,7039,7179,7590,8074,8492,8894,9239,9665,10097,10098,10465,10940,11457,11901,12393,12898
