,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,0,363,735,1075,1427,1800,2162,2501,2885,3260,3615,3980,4319,4688,5050,5382,5768,6104,6469,6844,7210,7578,7905,8295
1,2,59,407,784,1128,1476,1852,2221,2547,2930,3312,3673,4038,4372,4741,5103,5436,5824,6146,6518,6891,7268,7621,7959,8351
2,3,160,543,929,1270,1621,2000,2383,2688,3067,3455,3832,4191,4520,4887,5253,5590,5980,6280,6663,7026,7429,7756,8104,8505
3,4,234,666,1060,1399,1753,2135,2528,2818,3192,3585,3976,4331,4654,5019,5389,5730,6121,6404,6794,7150,7572,7880,8236,8644
4,5,370,832,1242,1577,1935,2322,2734,2996,3364,3765,4178,4527,4840,5203,5580,5925,6320,6572,6976,7320,7774,8051,8417,8841
5,6,515,998,1424,1758,2119,2511,2941,3177,3538,3946,4382,4726,5029,5389,5773,6122,6521,6744,7158,7492,7977,8224,8599,9038
6,7,643,1167,1611,1943,2308,2705,3154,3365,3717,4133,4591,4930,5223,5580,5971,6325,6729,6921,7346,7669,8185,8404,8786,9242
7,8,711,1256,1708,2044,2409,2807,3259,3472,3816,4232,4695,5038,5329,5683,6074,6431,6834,7025,7444,7768,8287,8508,8885,9345
8,9,852,1383,1850,2188,2554,2956,3419,3620,3955,4375,4851,5194,5480,5831,6225,6586,6990,7167,7588,7906,8442,8650,9030,9497
9,10,923,1489,1966,2307,2674,3077,3546,3744,4072,4492,4977,5321,5605,5953,6348,6712,7117,7288,7706,8023,8566,8770,9148,9620
10,11,1087,1686,2186,2526,2897,3308,3799,3967,4286,4712,5224,5565,5836,6181,6583,6952,7364,7499,7929,8233,8813,8983,9370,9862
11,12,1169,1790,2302,2646,3019,3431,3928,4096,4406,4831,5350,5695,5964,6305,6708,7080,7494,7624,8049,8351,8936,9107,9490,9986
12,13,1241,1883,2406,2756,3131,3543,4045,4214,4516,4940,5464,5813,6082,6419,6821,7197,7611,7740,8157,8460,9046,9222,9600,10099
13,14,1331,2005,2544,2899,3275,3690,4200,4364,4657,5081,5616,5968,6233,6567,6971,7350,7767,7884,8301,8599,9197,9367,9744,10250
14,15,1434,2103,2649,3010,3388,3804,4317,4483,4770,5191,5731,6088,6352,6683,7086,7468,7886,8003,8412,8711,9309,9483,9856,10363
15,16,1580,2228,2796,3154,3535,3954,4476,4635,4915,5335,5885,6247,6506,6834,7238,7624,8045,8150,8558,8853,9463,9630,10002,10516
16,17,1685,2334,2914,3279,3661,4082,4609,4769,5040,5459,6015,6381,6640,6964,7367,7756,8178,8280,8684,8977,9590,9759,10128,10644
17,18,1795,2434,3023,3396,3779,4202,4733,4895,5160,5576,6136,6507,6766,7086,7489,7880,8304,8404,8802,9094,9709,9881,10247,10765
18,19,1888,2593,3137,3508,3893,4317,4865,5016,5275,5689,6278,6628,6888,7204,7606,8000,8425,8524,8916,9207,9834,9999,10361,10887
19,20,1998,2723,3345,3693,4049,4476,5033,5179,5431,5844,6441,6797,7052,7366,7769,8166,8593,8681,9073,9358,10003,10155,10517,11056
20,21,2111,2848,3486,3890,4203,4631,5196,5337,5582,5995,6604,6961,7213,7524,7927,8327,8757,8835,9226,9505,10160,10307,10669,11214
21,22,2233,2992,3647,4072,4476,4817,5398,5514,5753,6165,6797,7148,7394,7702,8106,8516,8945,9007,9399,9672,10351,10478,10840,11394
22,23,2323,3084,3750,4184,4591,5006,5532,5663,5872,6280,6911,7273,7519,7824,8226,8637,9068,9131,9515,9788,10465,10600,10957,11510
23,24,2420,3194,3874,4315,4727,5146,5678,5808,6012,6416,7050,7420,7664,7966,8368,8781,9214,9272,9653,9922,10602,10740,11095,11650
24,25,2538,3314,4008,4457,4874,5297,5838,6044,6168,6563,7202,7579,7821,8120,8522,8937,9374,9424,9802,10067,10759,10891,11244,11802
25,26,2605,3387,4089,4548,4969,5393,5934,6146,6351,6659,7293,7680,7924,8221,8619,9035,9474,9532,9899,10165,10847,10995,11341,11895
26,27,2665,3458,4167,4638,5061,5487,6028,6247,6452,6762,7382,7778,8026,8321,8716,9132,9571,9638,9994,10262,10934,11097,11437,11987
27,28,2729,3530,4248,4728,5155,5584,6124,6350,6554,6862,7473,7879,8130,8423,8816,9232,9672,9745,10093,10360,11023,11200,11535,12080
28,29,2796,3612,4334,4823,5255,5686,6227,6457,6661,6968,7572,7984,8240,8531,8920,9337,9777,9856,10197,10463,11120,11307,11639,12180
29,30,2865,3697,4429,4927,5364,5798,6342,6573,6777,7083,7681,8101,8359,8648,9036,9452,9893,9975,10311,10575,11228,11422,11753,12291
30,31,2953,3800,4545,5052,5495,5933,6482,6710,6913,7220,7818,8240,8500,8787,9174,9592,10035,10113,10447,10706,11363,11556,11888,12427
31,32,3087,3931,4693,5207,5657,6101,6661,6877,7079,7389,7992,8415,8673,8959,9347,9766,10213,10279,10616,10867,11535,11718,12054,12600
32,33,3164,4013,4798,5309,5764,6212,6774,6993,7195,7503,8101,8530,8792,9076,9462,9881,10328,10398,10730,10979,11642,11833,12168,12710
33,34,3272,4124,4915,5450,5912,6364,6935,7147,7347,7658,8258,8689,8951,9234,9620,10040,10490,10551,10885,11127,11797,11982,12320,12865
34,35,3552,4396,5209,5754,6229,6697,7302,7463,7658,7983,8616,9038,9284,9566,9961,10386,10849,10852,11212,11430,12155,12283,12642,13215
