,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD
0,327,-0.006246793859948714,145.8932139078776,-2.9188069854394767,-2.495305842201962,-0.42350114323751475,94.32478632478633,0.49994248,2684.121282798834,1857.7519093372753,2818.5550628233555,4.249410275417174
0,373,0.00818320508632395,144.7139638264974,-2.998846793547958,-2.551470772341367,-0.4473760212065915,101.40277777777777,0.5089434,2916.759703196347,1918.6819526627219,2936.813856015779,4.114078997111618
0,211,0.0069247776538961464,91.22342681884766,-2.5713854244521515,-2.1429282936378375,-0.4284571308143137,97.6923076923077,0.55410224,2621.4979334776617,1813.6845719892078,2784.96222712779,4.2812487979602345
0,192,0.002952889228860537,63.556656731499565,-2.297789976899957,-1.884505533466097,-0.4132844434338598,98.11004273504274,0.50030786,2657.668311944719,1893.2903306613227,2746.1783567134266,3.1471673021756827
0,230,-0.008991108689871099,74.44054667154948,-2.547260137283879,-2.1315723879049493,-0.4156877493789299,95.12286324786325,0.5174732,2648.551040248882,1806.8706686188384,2699.7442654953634,3.583115249536595
0,172,0.0025253097216288247,50.40094926622179,-2.293239502300912,-1.8696580723902942,-0.4235814299106172,98.03632478632478,0.45109835,2583.9495899179838,1850.7795177728065,2803.124285359185,3.2835984539389163
0,214,-0.007904365348319212,44.5044797261556,-2.31799454130335,-1.9159636234771122,-0.40203091782623784,101.16239316239316,0.49068445,2518.061598440546,1881.235760277365,2549.361069836553,2.7470770256234713
0,141,-0.002851709309551451,28.721927218967014,-2.0373165857634272,-1.6555224149370027,-0.3817941708264243,92.7948717948718,0.4313613,2471.8028169014083,1806.0573521980798,2500.7713491662457,2.8491165427899636
0,204,-0.004199335765507486,37.28206464979384,-2.285682263880699,-1.8525824399883468,-0.43309982389235263,97.8258547008547,0.45094702,2625.408381102985,1817.0962435551191,2798.1104836729683,3.344774947430661
0,167,0.008182914720641242,21.529447343614365,-2.0452834789777126,-1.6676533482350033,-0.3776301307427094,95.04380341880342,0.46998012,2264.417856424693,1861.0611429997505,2453.859495882206,2.965714009485428
0,158,-0.0024542204207844203,23.81352382236057,-2.131133055274345,-1.7399228251948915,-0.39121023007945327,93.48504273504274,0.4416351,2525.468969672625,1858.7761269201712,2609.730294636112,2.9430104471639686
0,78,-0.009689626076983081,17.6421513027615,-2.0116704672907413,-1.635250975660577,-0.3764194916301638,95.20299145299145,0.46563148,2207.2972972972975,1805.596526554241,2465.9146740498363,2.4306475711358417
0,134,0.0007687813291947047,12.433948940700954,-1.9181729033644397,-1.5598013311601502,-0.3583715722042897,88.78311965811966,0.35504347,2271.3615661206554,1741.7328035758628,2329.729823690092,2.589320625877733
0,172,0.004327557153171963,14.649488025241428,-1.960083198849203,-1.5782131826094845,-0.38187001623971834,88.8707264957265,0.30728903,2452.903469387755,1799.7466733617875,2567.6957067537032,2.8969893023677704
0,78,-0.0016197127600510914,6.287770536210802,-1.5818362231808465,-1.2515800459833724,-0.3302561771974741,80.18589743589743,0.24258144,2152.9840229414176,1674.620707199186,2201.059018061562,2.7080614497467983
0,27,0.013460927953322729,2.6008186605241566,-1.522416715510641,-1.178384498567459,-0.3440322169431817,79.11752136752136,0.25925666,2070.425497360942,1639.1096567053594,2254.8441590516177,2.249034394787744
0,18,0.00022386511166890463,1.334241443210178,-1.3999702151512463,-1.0842885072281272,-0.31568170792311867,76.29700854700855,0.29222244,1897.3871308016878,1632.0238095238096,2096.0420466058763,1.8859466369641653
0,33,0.011527952634625964,6.3111383650037975,-1.6912897349375797,-1.3123312319475418,-0.37895850299003797,82.86111111111111,0.42909482,2337.438578680203,1677.1158915692613,2542.7843819945288,2.9697869322365325
0,28,0.016271545137796137,4.249642239676581,-1.5679247374354157,-1.2262817500383127,-0.34164298739710314,77.75106837606837,0.34376284,2291.4100618886005,1685.3630892678034,2308.473921765296,1.9232118955347715
0,26,-0.006187782726354069,1.4432632393307157,-1.359708956073468,-1.0205166182506948,-0.3391923378227731,80.05662393162393,0.3951388,2188.523858706879,1673.9649795501023,2262.741564417178,1.812598092080819
0,56,-0.002000747869412104,3.1540014478895397,-1.5073153116594278,-1.1603018395800526,-0.34701347207937494,82.19017094017094,0.37223917,2138.2223143923684,1685.1873737373737,2277.074494949495,2.1915274852392477
0,112,0.003916850830945704,3.2830830150180392,-1.4802444847549885,-1.1422197990521532,-0.3380246857028354,84.75106837606837,0.25527522,2098.8710221285564,1750.8701164294955,2232.910996119017,1.7873605969715545
0,13,0.004563226157592403,3.4628965059916177,-1.426551134899726,-1.0840953293552575,-0.3424558055444684,79.67628205128206,0.25780237,2069.4213294068154,1657.2569179994923,2281.6661589235846,1.6296860915074807
0,13,0.004232284095552232,3.1007205645243325,-1.4684029620806995,-1.119762573941952,-0.34864038813874726,76.23611111111111,0.26942253,2242.190082644628,1578.1615480649189,2315.0187265917602,1.8380701011684937
0,16,0.021609909728997283,2.6686296463012695,-1.5040596530039714,-1.1550696344876845,-0.3489900185162869,75.93910256410257,0.20888084,2244.783931832015,1601.3609304652325,2334.633316658329,1.88535499344492
0,41,0.005346614557007949,4.5645647048950195,-1.6178036632158477,-1.24881849082616,-0.3689851723896879,79.09722222222223,0.2281186,2163.542590673575,1624.7922238732046,2451.7565626547794,2.097060915208365
0,34,0.007146146355403794,3.257948875427246,-1.392353296753762,-1.0519542936955588,-0.3403990030582032,72.2457264957265,0.21087186,2149.2380752258878,1580.8052244483895,2308.3449150393103,2.427235508219608
0,13,0.004265144467353821,3.34980575243632,-1.3124703295870874,-0.9709394381742252,-0.34153089141286186,77.38034188034187,0.25770622,2122.922693266833,1545.0209595959595,2229.4527777777776,1.9139967726073515
0,15,0.0020092767145898608,1.771033075120714,-1.4856091972426502,-1.1342143673038694,-0.3513948299387811,79.02884615384616,0.32029742,2296.40473738414,1691.5284019187075,2375.2436253471346,2.063407897311918
0,6,-0.010164596243864961,1.0014854073524475,-1.4517321891193031,-1.112529687411329,-0.3392025017079739,83.3974358974359,0.37525716,2080.1667706383864,1676.4153961509624,2225.3474131467133,1.7884678767813658
