,time,loc,op,stop
0,363,0.0,0.0,-1
1,364,0.007222222222222222,0.0,-1
2,365,0.014444444444444444,0.0,-1
3,366,0.021666666666666667,0.0,-1
4,367,0.028888888888888888,0.0,-1
5,368,0.03611111111111111,0.0,-1
6,369,0.04333333333333333,0.0,-1
7,370,0.05055555555555555,0.0,-1
8,371,0.05777777777777777,0.0,-1
9,372,0.06499999999999999,0.0,-1
10,373,0.07222222222222222,0.0,-1
11,374,0.07944444444444444,0.0,-1
12,375,0.08666666666666667,0.0,-1
13,376,0.0938888888888889,0.0,-1
14,377,0.10111111111111112,0.0,-1
15,378,0.10833333333333335,0.0,-1
16,379,0.11555555555555558,0.0,-1
17,380,0.1227777777777778,0.0,-1
18,381,0.13000000000000003,0.0,-1
19,382,0.13722222222222225,0.0,-1
20,383,0.14444444444444446,0.0,-1
21,384,0.15166666666666667,0.0,-1
22,385,0.15888888888888889,0.0,-1
23,386,0.1661111111111111,0.0,-1
24,387,0.1733333333333333,0.0,-1
25,388,0.18055555555555552,0.0,-1
26,389,0.18777777777777774,0.0,-1
27,390,0.19499999999999995,0.0,-1
28,391,0.20222222222222216,0.0,-1
29,392,0.20944444444444438,0.0,-1
30,393,0.2166666666666666,0.0,-1
31,394,0.2238888888888888,0.0,-1
32,395,0.23111111111111102,0.0,-1
33,396,0.23833333333333323,0.0,-1
34,397,0.24555555555555544,0.0,-1
35,398,0.25277777777777766,0.0,-1
36,399,0.2599999999999999,0.0,-1
37,400,0.26722222222222214,0.0,-1
38,401,0.2744444444444444,0.0,-1
39,402,0.2816666666666666,0.0,-1
40,403,0.28888888888888886,0.0,-1
41,404,0.2961111111111111,0.0,-1
42,405,0.30333333333333334,0.0,-1
43,406,0.3105555555555556,0.0,-1
44,407,0.3177777777777778,0.0,-1
45,408,0.32500000000000007,0.0,-1
46,409,0.3322222222222223,0.0,-1
47,410,0.33944444444444455,0.0,-1
48,411,0.33944444444444455,0.05,2
49,412,0.33944444444444455,0.05,2
50,413,0.33944444444444455,0.05,2
51,414,0.33944444444444455,0.05,2
52,415,0.33944444444444455,0.05,2
53,416,0.33944444444444455,0.05,2
54,417,0.33944444444444455,0.05,2
55,418,0.33944444444444455,0.05,2
56,419,0.33944444444444455,0.05,2
57,420,0.33944444444444455,0.05,2
58,421,0.33944444444444455,0.05,2
59,422,0.33944444444444455,0.05,2
60,423,0.3466666666666668,0.05,-1
61,424,0.35388888888888903,0.05,-1
62,425,0.36111111111111127,0.05,-1
63,426,0.3683333333333335,0.05,-1
64,427,0.37555555555555575,0.05,-1
65,428,0.382777777777778,0.05,-1
66,429,0.39000000000000024,0.05,-1
67,430,0.3972222222222225,0.05,-1
68,431,0.4044444444444447,0.05,-1
69,432,0.41166666666666696,0.05,-1
70,433,0.4188888888888892,0.05,-1
71,434,0.42611111111111144,0.05,-1
72,435,0.4333333333333337,0.05,-1
73,436,0.4405555555555559,0.05,-1
74,437,0.44777777777777816,0.05,-1
75,438,0.4550000000000004,0.05,-1
76,439,0.46222222222222265,0.05,-1
77,440,0.4694444444444449,0.05,-1
78,441,0.4766666666666671,0.05,-1
79,442,0.48388888888888937,0.05,-1
80,443,0.4911111111111116,0.05,-1
81,444,0.49833333333333385,0.05,-1
82,445,0.5055555555555561,0.05,-1
83,446,0.5127777777777783,0.05,-1
84,447,0.5200000000000006,0.05,-1
85,448,0.5272222222222228,0.05,-1
86,449,0.534444444444445,0.05,-1
87,450,0.5416666666666673,0.05,-1
