,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean0,headway_mean1,headway_mean2,headway_mean3,headway_mean4,headway_mean5,headway_mean6,headway_mean7,headway_mean8,headway_mean9,headway_mean10,headway_mean11,headway_var0,headway_var1,headway_var2,headway_var3,headway_var4,headway_var5,headway_var6,headway_var7,headway_var8,headway_var9,headway_var10,headway_var11
0,3,-0.005063743640979131,4.524221142133077,-0.6146712,-0.4609615103267059,-0.1537097,113.87212,0.6496296,834.0733496332518,1621.8607305936073,1169.2151826484019,7.194662729434764,529.3684210526316,538.4736842105264,547.578947368421,560.6111111111111,560.0588235294117,567.1176470588235,574.3125,576.1875,583.0666666666667,594.2,611.5,572.5384615384615,63324.02216066481,67096.8808864266,46003.191135734065,56338.57098765431,44616.761245674745,47406.92733564014,45774.83984375,41434.52734375,61601.52888888889,65991.76,57947.107142857145,49457.325443786984
0,2,-0.0010888592805713415,3.2828164100646973,-0.6014835,-0.44264419996831966,-0.15883939,119.981445,0.65789837,859.2172712933753,1675.081598199212,1253.4974676420934,7.700986209351609,564.3157894736842,559.0555555555555,560.1666666666666,566.3333333333334,565.0588235294117,574.0,601.0,582.4666666666667,588.0666666666667,598.8,603.9285714285714,624.6153846153846,49229.373961218844,58434.05246913581,53840.13888888888,48614.0,65817.34948096886,77454.82352941176,74546.0,66491.71555555555,72119.66222222222,44965.22666666667,59901.494897959186,49045.159763313604
0,1,-0.005231323079594101,4.797693808873494,-0.79495245,-0.6310472204543717,-0.16390522,114.72525,0.695797,925.1760904684976,1687.5113570180547,1278.9231217239371,8.367919837859331,548.8421052631579,557.4736842105264,565.0555555555555,542.8235294117648,544.2352941176471,546.8235294117648,555.9411764705883,573.0,590.7333333333333,583.4666666666667,573.2142857142857,572.7142857142857,55108.5540166205,83502.24930747921,70781.27469135803,71345.32179930795,75351.12110726643,106126.02768166091,81938.52595155708,68087.25,57458.462222222224,61735.18222222222,53659.02551020408,35256.489795918365
0,4,0.013243686718245348,1.148501565059026,-0.5021297,-0.35379297680419325,-0.14833672,110.702065,0.64411885,978.0096657269432,1675.6678466076696,1305.3374631268437,7.822736930016522,541.3157894736842,550.578947368421,547.2777777777778,555.0555555555555,552.4117647058823,557.3529411764706,564.7058823529412,566.625,590.4,585.9333333333333,582.2857142857143,584.9285714285714,40676.00554016621,37848.454293628805,39781.6450617284,40480.830246913574,50392.242214532875,60242.934256055356,48781.148788927334,47185.859375,39848.64,40398.728888888894,45952.204081632655,40707.63775510203
0,2,-0.0024372277160485587,2.9506119887034097,-0.7832492,-0.6334850241731447,-0.14976425,105.10924,0.48530605,930.0790201501383,1602.6066591422123,1231.0716704288939,8.123261816001023,538.05,554.6315789473684,550.7777777777778,555.1111111111111,546.1764705882352,556.1764705882352,560.7647058823529,561.6875,564.75,558.8666666666667,558.8666666666667,563.9285714285714,72882.64749999999,85030.1274238227,68885.17283950617,70446.09876543209,82402.4982698962,66544.14532871974,70480.06228373703,75537.08984375,77107.4375,76439.44888888889,68411.8488888889,66423.20918367348
0,0,-0.002934454008936882,0.2257371594508489,-0.4358604,-0.25301406599801757,-0.18284631,130.75673,0.7767973,986.4335520918786,1768.072966507177,1363.4102870813397,7.652289734267261,572.7777777777778,578.2222222222222,553.1764705882352,562.4705882352941,571.9411764705883,583.75,584.3125,606.3333333333334,607.8666666666667,617.5,618.9230769230769,622.4615384615385,43734.506172839516,55303.61728395061,41429.5570934256,42758.95501730104,34993.34948096886,32508.3125,27283.96484375,26025.555555555555,16449.18222222222,17356.39285714286,25098.224852071,22783.325443786984
0,0,0.0030925247507790723,0.12365958963831265,-0.48627257,-0.3153943589637691,-0.17087822,120.99643,0.74166894,893.0644773728474,1690.932866316404,1296.2475189725628,7.077052656527997,562.3684210526316,556.8333333333334,566.7777777777778,560.7647058823529,569.7058823529412,572.8235294117648,578.1875,586.0,597.6666666666666,604.6428571428571,600.2857142857143,610.6923076923077,52335.39058171745,44957.02777777778,50058.17283950616,43542.885813148794,44009.73702422145,42576.73356401384,38348.77734375,28785.0,32838.08888888888,20880.372448979593,27981.204081632655,34800.52071005917
0,0,-0.005256460669140021,1.5747124354044597,-0.73418456,-0.5590484321192538,-0.17513609,128.68936,0.8542537,1147.0970003895598,1757.5192307692307,1476.1057692307693,8.56664164566725,559.2777777777778,568.6666666666666,575.3333333333334,559.0588235294117,568.5294117647059,574.8823529411765,591.6875,614.2666666666667,636.7142857142857,615.3846153846154,622.9230769230769,633.0,66981.53395061727,72500.11111111111,65647.0,81590.40830449828,67876.83737024221,62482.10380622838,62300.08984375,63261.39555555556,53102.918367346945,61482.390532544385,95845.30177514792,79006.46153846153
0,3,-0.0009252770493427912,0.6131641566753387,-0.6473477,-0.46763081114367333,-0.17971684,128.04532,0.7878841,1081.5495145631069,1729.4730139478472,1339.4596725288054,8.705833099478504,563.0555555555555,572.6666666666666,550.4117647058823,560.5882352941177,570.4117647058823,584.1875,591.6875,606.6,620.7142857142857,618.7857142857143,620.3076923076923,627.6153846153846,68360.49691358025,88529.77777777778,72668.47750865051,58301.53633217993,44635.30103806229,50865.52734375,43242.46484375,47327.04,42475.775510204076,37159.16836734694,64315.136094674555,74381.775147929
0,0,0.0012472628926237423,0.4713638226191203,-0.6859301,-0.5095929149637682,-0.17633717,136.2236,0.8039177,1076.673738991193,1732.4501822600243,1402.4434993924665,7.966009595837896,565.7222222222222,573.4444444444445,579.0,553.9411764705883,563.4117647058823,573.4117647058823,621.8666666666667,631.7142857142857,642.1428571428571,640.2307692307693,648.8461538461538,616.25,64569.7561728395,67835.46913580247,80986.44444444444,63451.58477508651,57176.359861591685,61001.77162629758,51506.38222222223,44602.48979591838,39358.97959183674,55155.408284023666,77167.20710059171,72503.1875
0,0,-0.009613681895037493,0.18499461064736047,-0.60631824,-0.4335154129525991,-0.17280285,131.52348,0.836876,1003.3232640251078,1719.4140811455848,1326.3454653937947,6.889336819400825,563.6111111111111,570.3333333333334,549.3529411764706,559.5294117647059,569.3529411764706,570.2941176470588,596.75,613.2666666666667,628.7857142857143,625.3571428571429,629.9230769230769,630.3846153846154,62957.23765432098,65468.22222222222,50286.93425605536,42768.71972318339,44043.757785467125,39044.32525951557,34619.4375,39729.928888888884,38599.73979591836,53062.372448979586,58817.91715976331,67300.08284023669
0,0,0.0030603837221860886,0.3316456427176793,-0.48138404,-0.29522519053972984,-0.18615884,136.47214,0.90626335,1071.7702758336764,1758.870153846154,1428.1803076923077,7.789969396826435,577.4444444444445,580.0,577.9411764705883,588.1176470588235,576.125,586.9375,592.375,619.9333333333333,636.1428571428571,638.3846153846154,646.3076923076923,633.0833333333334,49618.02469135803,49751.333333333336,52260.87889273356,52203.98615916955,46561.859375,43891.80859375,39550.359375,34718.86222222222,24133.26530612245,26043.15976331361,30047.597633136087,37013.409722222226
0,0,-0.006761988004048665,0.2893587276339531,-0.5193794,-0.3583397165889477,-0.16103964,128.0934,0.7908668,910.9669621273167,1695.8221040189126,1281.300827423168,7.417923880285046,561.8888888888889,568.1666666666666,573.5555555555555,556.7647058823529,565.2352941176471,575.0588235294117,591.75,606.2,616.2142857142857,617.7857142857143,616.9230769230769,623.5384615384615,61127.87654320987,63226.02777777778,47735.24691358025,36461.238754325255,28255.709342560553,29061.467128027678,34025.5625,40983.35999999999,49155.311224489786,61299.454081632655,58494.686390532544,60712.24852071007
0,0,-0.02069522502521674,0.18364602327346802,-0.58859736,-0.41547680859622194,-0.17312054,140.08846,0.85197264,1072.363599182004,1791.9217980295566,1424.392857142857,8.182617101879366,568.4444444444445,575.8333333333334,568.8235294117648,578.2941176470588,588.1176470588235,600.6875,618.8666666666667,619.4666666666667,634.5,625.0,637.1538461538462,641.0769230769231,50222.91358024692,62196.13888888889,59190.615916955016,52204.795847750866,57326.33910034602,65753.21484375,59593.84888888889,46498.38222222223,39933.96428571428,55348.153846153844,57420.13017751479,44847.60946745562
0,0,8.66012026866277e-05,0.25972892840703327,-0.45250177,-0.28600753000298873,-0.16649419,141.58784,0.8336563,983.6979038224414,1835.1114551083592,1375.2111455108359,7.532773830632977,575.5,585.0555555555555,566.2352941176471,568.8235294117648,578.8235294117648,606.25,621.0,632.0,637.2857142857143,644.6153846153846,635.0769230769231,637.5833333333334,49458.694444444445,52238.719135802465,38558.29757785467,39747.08650519031,37236.262975778554,31645.1875,35275.6,29496.428571428572,27701.20408163265,29594.698224852073,21375.45562130178,32727.076388888887
0,0,-0.001089322070280711,0.36251525084177655,-0.37252736,-0.19348815258785967,-0.1790392,147.27318,0.894305,1095.911361804996,1805.3984039287907,1382.3885819521179,7.91113088883541,577.6666666666666,587.4444444444445,595.9411764705883,600.75,608.875,620.4,627.4,641.9285714285714,650.6428571428571,643.6153846153846,652.8461538461538,636.9166666666666,31058.0,36853.91358024692,33504.761245674745,35692.9375,30172.484375,28841.44,21457.173333333332,17318.7806122449,23917.229591836734,21762.852071005917,19453.207100591713,13443.909722222224
