bus_id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39
1,0.0,5.227,5.227,7.159,9.205,11.932,12.5,14.432,19.091,20.682,20.455,21.818,24.773,27.273,35.568,41.591,51.136,50.227,55.455,52.614,58.409,62.955,64.886,63.864,64.318,64.773,65.227,61.818,57.727,55.114,51.136,45.909,39.545,33.409,27.273,22.614,6.818,1.364,0.0
2,0.0,4.545,4.545,7.727,8.636,11.136,12.045,13.864,17.386,18.182,17.727,19.091,21.818,27.045,33.636,38.864,53.182,54.091,48.295,54.773,61.591,66.591,66.136,57.5,66.136,65.682,59.659,57.5,55.909,47.273,44.545,43.409,34.091,29.318,31.818,23.182,6.364,6.364,0.0
3,0.0,4.545,4.545,5.909,7.5,9.886,10.341,12.273,15.909,16.591,17.273,18.409,19.318,20.682,25.227,32.045,38.409,40.0,42.159,41.818,45.455,50.682,51.364,50.682,52.045,53.636,60.0,51.136,48.636,47.727,45.0,38.636,33.409,28.636,25.114,17.386,6.591,6.591,0.0
4,0.0,5.795,5.795,7.5,9.545,12.273,13.409,14.773,18.864,20.455,20.909,23.182,24.545,26.932,35.909,43.636,51.591,53.864,55.682,55.227,60.682,66.591,66.023,64.545,65.909,65.909,65.227,50.341,47.386,56.136,44.205,39.034,33.864,29.091,26.818,16.932,8.977,8.977,0.0
5,0.0,5.909,5.909,5.909,8.068,10.682,11.364,13.295,16.932,18.636,17.5,21.136,19.091,25.227,32.955,37.614,44.773,46.591,48.409,48.75,54.091,58.636,58.636,57.955,59.091,59.318,59.659,56.705,53.182,50.0,45.341,39.716,34.091,29.091,25.909,18.068,9.545,9.545,0.0
6,0.0,10.341,10.341,10.341,10.341,10.341,10.909,12.5,15.682,17.955,18.864,20.682,17.386,18.636,29.545,32.955,37.5,47.614,50.682,50.0,55.455,60.341,61.023,59.773,60.909,61.023,60.682,58.182,56.136,51.136,48.182,42.841,36.591,35.0,30.909,21.136,10.455,10.455,0.0
