,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean0,headway_mean1,headway_mean2,headway_mean3,headway_mean4,headway_mean5,headway_mean6,headway_mean7,headway_mean8,headway_mean9,headway_mean10,headway_mean11,headway_var0,headway_var1,headway_var2,headway_var3,headway_var4,headway_var5,headway_var6,headway_var7,headway_var8,headway_var9,headway_var10,headway_var11
0,10,-0.015600692830048501,18.728108723958332,-1.129715700379844,-0.749947461065665,-0.379768239314179,94.04398148148148,0.13136783,945.1916698804473,1608.5,1255.839344262295,7.845124180379812,533.65,552.6842105263158,544.1666666666666,546.0,554.3333333333334,537.7647058823529,544.7647058823529,543.8823529411765,548.3125,558.75,569.3571428571429,573.2142857142857,91481.5275,86207.05817174516,83685.91666666667,69807.22222222222,81026.11111111111,90723.12110726644,78581.59169550173,56387.86851211073,65886.33984375,68923.4375,97846.37244897957,99864.59693877552
0,13,0.00231874609986941,16.79119809468587,-1.1735031253864,-0.8205502974492832,-0.3529528279371166,94.94444444444444,0.32901016,882.1328616352201,1631.3640326975476,1203.2354223433242,7.548850548507794,511.6666666666667,543.0,548.2631578947369,535.4117647058823,540.7058823529412,550.0,552.4705882352941,542.625,543.1875,541.4375,539.1333333333333,538.0666666666667,86496.60317460315,102241.68421052632,78597.14127423822,65832.59515570932,63726.08996539793,67646.70588235294,81129.7785467128,73638.734375,85801.02734375,74620.37109375,109811.0488888889,99354.86222222222
0,10,-0.012757457171877226,14.192642211914062,-1.132464813294618,-0.7822737647200632,-0.35019104857455474,101.83333333333333,0.22155996,789.6547857428915,1618.996701484332,1181.5184167124794,7.810772672501918,537.65,545.578947368421,561.0,568.7777777777778,548.5294117647059,554.6470588235294,558.3529411764706,564.375,574.0625,551.0,547.8,555.1333333333333,60474.52750000001,83777.08587257616,92737.33333333333,103194.83950617284,114372.95501730104,105183.16955017301,112556.93425605536,101564.109375,99019.43359375,71731.46666666666,70246.96,59465.31555555556
0,9,0.007042481874426206,26.340805371602375,-1.5104426901368828,-1.2125559216777768,-0.2978867684591057,75.74537037037037,0.1526118,745.0406275140789,1492.9994579945799,1057.8140921409215,7.6076660559836915,486.59090909090907,526.9,517.6315789473684,526.7368421052631,527.5263157894736,530.2222222222222,532.7222222222222,492.94117647058823,495.0,498.05882352941177,490.0,485.9375,99511.51446280995,105200.68999999999,102088.54847645429,101373.56232686981,128147.72299168976,135603.5061728395,127175.86728395062,85729.23183391002,78272.23529411765,87715.23183391003,111303.5294117647,100693.30859375
0,3,0.0007330353061358134,0.8374983171621958,-0.6555558663563829,-0.3769076224701935,-0.2786482438861895,69.1087962962963,0.10001858,723.8712528823982,1470.0837161817253,995.6784073506891,6.67622300698876,492.1904761904762,492.3809523809524,500.05,505.45,498.57894736842104,505.57894736842104,495.3888888888889,496.8888888888889,502.94444444444446,492.6470588235294,498.5882352941176,513.0,23845.963718820858,25507.950113378687,32181.44749999999,32599.6475,36324.6648199446,35663.61218836565,49896.45987654322,35566.98765432098,28532.71913580247,35346.93425605536,27246.477508650518,19251.875
0,0,-0.018129060976207256,0.31346320112546283,-0.5426084019019349,-0.28756559306446056,-0.2550428088374744,71.85416666666667,0.15897784,554.8715824357912,1471.4332281808622,885.8422712933753,7.085999311892959,485.0952380952381,490.0952380952381,493.6190476190476,495.55,497.95,509.36842105263156,510.22222222222223,514.2222222222222,524.0,527.8235294117648,521.5,515.4375,38345.705215419504,29652.562358276642,20449.092970521542,25427.147500000003,26288.347500000003,35989.70637119114,36725.50617283951,27434.061728395063,16244.70588235294,13805.08650519031,22993.625,33447.87109375
0,0,0.004975888878107071,0.2506377026438713,-0.4914873709145222,-0.2421029879295503,-0.24938438298497193,59.21180555555556,0.08163478,634.1665378670788,1420.7948077883175,925.483275087369,6.731142063124949,471.04545454545456,477.8181818181818,477.42857142857144,479.0,484.15,488.1,498.36842105263156,494.6666666666667,497.0,498.55555555555554,503.5882352941176,497.4117647058824,20315.31611570248,25952.512396694216,24628.5306122449,25491.714285714286,34470.22749999999,28195.49,20866.022160664816,17312.222222222223,16515.333333333332,15965.246913580246,16638.359861591693,15930.359861591698
0,20,-0.00943329045549035,85.75115203857422,-2.4637091769753816,-2.098588072794248,-0.36512110418113414,85.9988425925926,0.23680224,843.5301902398677,1547.2147651006712,1175.1442953020135,9.166796137595098,488.1578947368421,490.1578947368421,494.3157894736842,496.3157894736842,498.0,506.36842105263156,500.27777777777777,509.22222222222223,510.8333333333333,551.5,613.9285714285714,517.9230769230769,120020.55401662049,124679.81717451522,135514.74238227148,140466.42659279777,143768.63157894736,153175.18005540167,168272.53395061725,189626.17283950618,217696.91666666666,240933.0,249514.637755102,134550.68639053253
0,0,-0.011883795338993272,1.2722802360852559,-0.719079365892333,-0.47414877346067524,-0.24493059243165785,71.2650462962963,0.11587653,542.540329218107,1453.1663157894736,883.3652631578948,6.618537045830504,500.04761904761904,501.3333333333333,505.05,507.7,506.94736842105266,508.7368421052632,485.5,490.94444444444446,497.3888888888889,499.3333333333333,500.4117647058824,523.8125,37350.52154195012,41903.26984126985,43941.447499999995,43323.71,49420.36565096953,49024.509695290864,41717.583333333336,43431.608024691355,39801.3487654321,41837.77777777778,36371.30103806228,33559.52734375
0,9,0.00031099173550804454,3.3818761905034385,-0.9444132179621181,-0.6691032684494131,-0.2753099495127049,68.37268518518519,0.18939932,658.4527622097678,1447.9876352395672,974.5904173106646,6.242944855353066,481.27272727272725,489.23809523809524,494.9047619047619,495.5,498.5,507.77777777777777,510.0,510.1666666666667,495.3529411764706,501.0,492.88235294117646,491.5882352941176,64406.107438016545,69657.7052154195,73106.4671201814,40816.36111111111,43619.36111111111,43206.61728395062,43887.88888888889,35158.02777777778,46490.69896193772,58529.64705882353,62561.280276816615,79456.94809688581
